"","interaction_ID","N10.A_Healthy","N11.B_Healthy","N15.A_Healthy","N16.A_Healthy","N17.A_Healthy","N18.A_Healthy","N20.A_Healthy","N21.A_Healthy","N51.A_Healthy","N46.A_Healthy","N9.B_Inflamed","N12.B_Inflamed","N14.B_Inflamed","N19.B_Inflamed","N24.B_Inflamed","N52.B1a_Inflamed","N111.B1_Inflamed","N44.B_Inflamed","N49.B_Inflamed","N50.B_Inflamed","N106.B_Inflamed","N539.B_Inflamed"
"9328","Endothelial:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9329","Endothelial:CXCL12_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,3.35045868923042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9330","Endothelial:EPHA2_Fibroblasts:FGFR1",NA,NA,NA,NA,NA,NA,NA,0.0547808208718011,0.0547808208718011,NA,NA,NA,NA,0.0547808208718011,NA,NA,NA,NA,NA,NA,NA,NA
"9331","Endothelial:ITGA3_Fibroblasts:CD151",NA,NA,NA,NA,NA,NA,NA,0.530392847331315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9332","Endothelial:ITGA3_Fibroblasts:CD63",NA,NA,NA,NA,NA,NA,NA,0.192300889340292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9333","Endothelial:LUM_Fibroblasts:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0413965244416449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9334","Endothelial:PTK7_Fibroblasts:FGFR1",NA,NA,NA,NA,NA,NA,NA,0.0547808208718011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9335","Myeloid:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9336","Myeloid:CXCL12_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,3.35045868923042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9337","Myeloid:EBI3_Fibroblasts:IL6ST",NA,NA,NA,NA,NA,NA,NA,0.867190533866087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9338","Myeloid:LTB_Fibroblasts:TNFRSF1A",NA,NA,NA,NA,NA,NA,NA,2.65153832795386,NA,NA,NA,NA,2.65153832795386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9339","Myeloid:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9340","Myeloid:OSM_Fibroblasts:OSMR",NA,NA,NA,NA,NA,NA,NA,7.21130170268961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9341","Myeloid:TFF3_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.220377290693909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9342","Myeloid:TFF3_Fibroblasts:CXCR4",NA,NA,NA,NA,NA,NA,NA,0.117839645965894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9343","Mast:ADAM9_Fibroblasts:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.190036065976358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9344","Mast:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9345","Mast:COL9A2_Fibroblasts:CD44",NA,NA,NA,NA,NA,NA,NA,0.0339994214551415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9346","Mast:COL9A2_Fibroblasts:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0413965244416449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9347","Mast:LUM_Fibroblasts:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0413965244416449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9348","Mast:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9349","Mast:OSM_Fibroblasts:OSMR",NA,NA,NA,NA,NA,NA,NA,7.21130170268961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9350","Mast:TFF3_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.220377290693909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9351","Lymphocytes:ADM_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9352","Lymphocytes:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9353","Lymphocytes:FCGRT_Fibroblasts:SHISA4",NA,NA,NA,NA,NA,NA,NA,0.928669943314162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9354","Lymphocytes:HLA-G_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,0.352236938084701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9355","Lymphocytes:IGFBP4_Fibroblasts:WNT2B",NA,NA,NA,NA,NA,NA,NA,0.105211446777804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9356","Lymphocytes:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9357","T-cells:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9358","T-cells:HLA-G_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,0.352236938084701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9359","T-cells:IL16_Fibroblasts:CD4",NA,NA,NA,NA,NA,NA,NA,1.3180225646198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9360","T-cells:MIF_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.383573676385287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9361","Plasma:CD74_Fibroblasts:ACKR3",NA,NA,NA,NA,NA,NA,NA,0.212763277092553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
