id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1827,ENSG00000278555,LILRB4,LILRB4,1765
1828,ENSG00000275730,LILRB4,LILRB4,1765
1829,ENSG00000277414,LILRB5,LILRB5,165
1830,ENSG00000273991,LILRB5,LILRB5,165
1831,ENSG00000278437,LILRB5,LILRB5,165
1832,ENSG00000274311,LILRB5,LILRB5,165
1833,ENSG00000105609,LILRB5,LILRB5,165
1834,ENSG00000104863,LIN7B,LIN7B,2021
1835,ENSG00000148943,LIN7C,LIN7C,2096
1836,ENSG00000169783,LINGO1,LINGO1,1860
1837,ENSG00000213171,LINGO4,LINGO4,1618
1838,ENSG00000166035,LIPC,LIPC,587
1839,ENSG00000163898,LIPH,LIPH,1799
1840,ENSG00000074695,LMAN1,LMAN1,1104
1841,ENSG00000139636,LMBR1L,LMBR1L,1593
1842,ENSG00000072201,LNX1,LNX1,1774
1843,ENSG00000268655,LOC101059948,LOC101059948,1
1844,ENSG00000198670,LPA,LPA,497
1845,ENSG00000198121,LPAR1,LPAR1,1810
1846,ENSG00000064547,LPAR2,LPAR2,2030
1847,ENSG00000171517,LPAR3,LPAR3,2164
1848,ENSG00000147145,LPAR4,LPAR4,1923
1849,ENSG00000175445,LPL,LPL,462
1850,ENSG00000145012,LPP,LPP,1832
1851,ENSG00000128011,LRFN1,LRFN1,2139
1852,ENSG00000156564,LRFN2,LRFN2,2201
1853,ENSG00000126243,LRFN3,LRFN3,1944
1854,ENSG00000173621,LRFN4,LRFN4,1576
1855,ENSG00000165379,LRFN5,LRFN5,1884
1856,ENSG00000282243,LRIG1,LRIG1,1870
1857,ENSG00000144749,LRIG1,LRIG1,1870
1858,ENSG00000198799,LRIG2,LRIG2,212
1859,ENSG00000148602,LRIT1,LRIT1,2146
1860,ENSG00000204033,LRIT2,LRIT2,4
1861,ENSG00000123384,LRP1,LRP1,1323
1862,ENSG00000197324,LRP10,LRP10,1641
1863,ENSG00000120256,LRP11,LRP11,1665
1864,ENSG00000147650,LRP12,LRP12,2256
1865,ENSG00000168702,LRP1B,LRP1B,2123
1866,ENSG00000081479,LRP2,LRP2,1256
1867,ENSG00000130881,LRP3,LRP3,169
1868,ENSG00000134569,LRP4,LRP4,175
1869,ENSG00000162337,LRP5,LRP5,179
1870,ENSG00000281324,LRP6,LRP6,191
1871,ENSG00000070018,LRP6,LRP6,191
1872,ENSG00000157193,LRP8,LRP8,1409
1873,ENSG00000163956,LRPAP1,LRPAP1,916
1874,ENSG00000128594,LRRC4,LRRC4,2031
1875,ENSG00000131409,LRRC4B,LRRC4B,2094
1876,ENSG00000148948,LRRC4C,LRRC4C,2040
1877,ENSG00000162763,LRRC52,LRRC52,1740
1878,ENSG00000175928,LRRN1,LRRN1,1609
1879,ENSG00000170382,LRRN2,LRRN2,180
1880,ENSG00000173114,LRRN3,LRRN3,2009
1881,ENSG00000146006,LRRTM2,LRRTM2,111
1882,ENSG00000198739,LRRTM3,LRRTM3,1663
1883,ENSG00000176204,LRRTM4,LRRTM4,1662
1884,ENSG00000166159,LRTM2,LRTM2,1741
1885,ENSG00000285383,LRTM2,LRTM2,1741
1886,ENSG00000185565,LSAMP,LSAMP,1381
1887,ENSG00000105699,LSR,LSR,1667
1888,ENSG00000173503,LTA,LTA,330
1889,ENSG00000223919,LTA,LTA,330
1890,ENSG00000226979,LTA,LTA,330
1891,ENSG00000231408,LTA,LTA,330
1892,ENSG00000226275,LTA,LTA,330
1893,ENSG00000238130,LTA,LTA,330
1894,ENSG00000230279,LTA,LTA,330
1895,ENSG00000206437,LTB,LTB,1308
1896,ENSG00000227507,LTB,LTB,1308
1897,ENSG00000236237,LTB,LTB,1308
1898,ENSG00000238114,LTB,LTB,1308
1899,ENSG00000236925,LTB,LTB,1308
1900,ENSG00000223448,LTB,LTB,1308
1901,ENSG00000204487,LTB,LTB,1308
1902,ENSG00000231314,LTB,LTB,1308
1903,ENSG00000049323,LTBP1,LTBP1,1432
1904,ENSG00000168056,LTBP3,LTBP3,2085
1905,ENSG00000111321,LTBR,LTBR,1004
1906,ENSG00000012223,LTF,LTF,385
1907,ENSG00000062524,LTK,LTK,901
1908,ENSG00000139329,LUM,LUM,1143
1909,ENSG00000172901,LVRN,LVRN,1577
1910,ENSG00000204428,LY6G5C,LY6G5C,1539
1911,ENSG00000237495,LY6G5C,LY6G5C,1539
1912,ENSG00000111971,LY6G5C,LY6G5C,1539
1913,ENSG00000206404,LY6G5C,LY6G5C,1539
1914,ENSG00000231325,LY6G5C,LY6G5C,1539
1915,ENSG00000226404,LY6G5C,LY6G5C,1539
1916,ENSG00000228883,LY6G5C,LY6G5C,1539
1917,ENSG00000204421,LY6G6C,LY6G6C,262
1918,ENSG00000235452,LY6G6C,LY6G6C,262
1919,ENSG00000236183,LY6G6C,LY6G6C,262
1920,ENSG00000228859,LY6G6C,LY6G6C,262
1921,ENSG00000235925,LY6G6C,LY6G6C,262
1922,ENSG00000206398,LY6G6C,LY6G6C,262
1923,ENSG00000228250,LY6G6C,LY6G6C,262
1924,ENSG00000239741,LY6G6F,LY6G6F,1538
1925,ENSG00000243804,LY6G6F,LY6G6F,1538
1926,ENSG00000241822,LY6G6F,LY6G6F,1538
1927,ENSG00000240008,LY6G6F,LY6G6F,1538
1928,ENSG00000243003,LY6G6F,LY6G6F,1538
1929,ENSG00000240957,LY6G6F,LY6G6F,1538
1930,ENSG00000204424,LY6G6F,LY6G6F,1538
1931,ENSG00000112799,LY86,LY86,247
1932,ENSG00000122224,LY9,LY9,2028
1933,ENSG00000154589,LY96,LY96,2290
1934,ENSG00000254087,LYN,LYN,483
1935,ENSG00000124466,LYPD3,LYPD3,228
1936,ENSG00000187123,LYPD6,LYPD6,1671
1937,ENSG00000133800,LYVE1,LYVE1,2275
1938,ENSG00000090382,LYZ,LYZ,1212
1939,ENSG00000099866,MADCAM1,MADCAM1,1383
1940,ENSG00000105695,MAG,MAG,761
1941,ENSG00000179222,MAGED1,MAGED1,2269
1942,ENSG00000282956,MAGI1,MAGI1,1899
1943,ENSG00000151276,MAGI1,MAGI1,1899
1944,ENSG00000184384,MAML2,MAML2,1708
1945,ENSG00000281818,MANSC1,MANSC1,2018
1946,ENSG00000111261,MANSC1,MANSC1,2018
1947,ENSG00000100030,MAPK1,MAPK1,882
1948,ENSG00000019169,MARCO,MARCO,2167
1949,ENSG00000130368,MAS1,MAS1,403
1950,ENSG00000162510,MATN1,MATN1,786
1951,ENSG00000165471,MBL2,MBL2,590
1952,ENSG00000197971,MBP,MBP,368
1953,ENSG00000258839,MC1R,MC1R,1273
1954,ENSG00000185231,MC2R,MC2R,1272
1955,ENSG00000124089,MC3R,MC3R,1043
