Gene;OverallAverageExpression;case_avg;control_avg
AGO1;4,08772873781221e-02;8,57277501859376e-02;3,23652439230511e-02
AGO2;8,82355868719690e-02;1,29772121581365e-01;8,03524845295372e-02
AGO3;5,10208514695938e-02;4,59818354442969e-02;5,19771921780927e-02
AGO4;3,22680412931507e-02;7,02516136599186e-02;2,50592457016719e-02
AGPAT1;4,43940303414273e-02;4,35442538135475e-02;4,45553070435967e-02
AGPAT2;5,59747042442451e-02;9,85071295841465e-02;4,79025946142032e-02
AGPAT3;3,73903713415924e-02;6,57206904739481e-02;3,20136395878095e-02
AGPAT4;2,20091505700703e-02;3,28015680005165e-02;1,99608879568868e-02
AGPAT5;4,90980297711376e-02;1,17083161165224e-01;3,61953224968587e-02
AGPS;5,15030433173875e-02;9,65150911587669e-02;4,29603330923151e-02
AGRN;1,78695062671892e-03;5,78710406513271e-03;1,02777273282221e-03
AGTPBP1;6,22292080395180e-02;1,12220708964319e-01;5,27414613895107e-02
AGTRAP;1,14321886339575e-01;1,65227698836268e-01;1,04660615062524e-01
AHCTF1;4,11104901179740e-02;7,59611279356544e-02;3,44962853813989e-02
AHCY;7,35745883314816e-02;1,18934801366406e-01;6,49658008115171e-02
AHCYL1;4,69875787911081e-02;1,03285682851156e-01;3,63029196327253e-02
AHCYL2;8,56611365005014e-03;1,44264512361762e-02;7,45389662771434e-03
AHDC1;1,25180277775572e-02;1,87373590564990e-02;1,13376783498450e-02
AHI1;3,29783619706410e-02;4,48722913565935e-02;3,07210464950216e-02
AHNAK;2,57312046090320e-01;4,80149437538684e-01;2,15020363002211e-01
AHNAK2;6,42510819451928e-05;3,04756673446486e-03;-5,01944022512365e-04
AHR;9,11047978656002e-02;2,30176043753861e-01;6,47108564379665e-02
AHSA1;8,28258073199094e-02;8,93298242522064e-02;8,15914282010704e-02
AHSA2;3,45166460188226e-02;7,07624514109705e-02;2,76376563440884e-02
AHSP;4,51424250508519e-01;2,15886727303745e-01;4,96126255957379e-01
AIDA;9,26146403270281e-02;8,74892333035723e-02;9,35873769405949e-02
AIF1;5,93618481418929e-01;1,04938012892448e+00;5,07120757519277e-01
AIF1L;1,22209979273083e-02;4,43321345913437e-02;6,12671542576039e-03
AIFM1;3,21469256295899e-02;5,42796664513270e-02;2,79464148687149e-02
AIFM2;5,38227830633894e-03;4,91654113170402e-03;5,47066925753429e-03
AIFM3;3,90332525073356e-03;7,28205250734785e-03;3,26208608773160e-03
AIG1;3,85555923615298e-02;3,40786835752668e-02;3,94052523147916e-02
AIM2;1,30168697604015e-02;1,54148364212954e-02;1,25617663981730e-02
AIMP1;2,16367288130011e-01;2,22882552604270e-01;2,15130774371751e-01
AIMP2;3,31330516009036e-02;3,28640255744988e-02;3,31841092953831e-02
AIP;1,11243650161255e-01;1,16110227754241e-01;1,10320036058844e-01
AK1;7,00096754694864e-02;2,78653391242118e-02;7,80081307784826e-02
AK2;1,18034345586303e-01;1,94129022328150e-01;1,03592550461430e-01
AK3;7,65631557972475e-02;9,60476989315462e-02;7,28652390428086e-02
AK4;1,15498603222508e-02;2,55285029413222e-02;8,89689297325597e-03
AK5;3,36013176017044e-02;3,04821228587999e-02;3,41933008173559e-02
AK6;8,56363972730294e-02;6,99866087422754e-02;8,86065267142185e-02
AK7;6,51604453992541e-03;5,57238349885938e-03;6,69513932034787e-03
AK9;1,97027475125528e-02;2,80822711702898e-02;1,81124212362535e-02
AKAP1;1,98243953674772e-02;2,49194267467947e-02;1,88574236621564e-02
AKAP10;3,65509632112997e-02;4,17731449185828e-02;3,55598600021055e-02
AKAP11;4,14041748697698e-02;8,46385546534286e-02;3,31988432760138e-02
AKAP12;7,04691035117993e-03;1,12718241809045e-03;8,17039890077578e-03
AKAP13;1,89185553874490e-01;2,48709397800408e-01;1,77888690600607e-01
AKAP17A;6,27595528146393e-02;6,43469460595247e-02;6,24582859060090e-02
AKAP2;2,69205643303226e-02;9,94588066404720e-02;1,31537349144427e-02
AKAP5;4,50135001806115e-03;4,54584612309457e-03;4,49290522717350e-03
AKAP7;5,68357610760733e-02;5,45124331762629e-02;5,72766989573234e-02
AKAP8;5,70378461937130e-02;6,42282895390519e-02;5,56731921325272e-02
AKAP8L;4,04063377638426e-02;5,93297554519161e-02;3,68149154329392e-02
AKAP9;2,27485997050043e-01;3,48343300209381e-01;2,04548828692090e-01
AKIP1;4,23874557523654e-02;6,34453826390435e-02;3,83909309115587e-02
