Gene;OverallAverageExpression;case_avg;control_avg
C1QA;7,11888915961053e-02;1,34810577727194e-01;1,77903742813235e-02
C1QC;1,40580201297696e-02;2,92487693891589e-02;1,30822463267052e-03
C1QB;2,47464038416553e-02;4,86445681766129e-02;4,68836043484659e-03
EPHB2;1,16649027667581e-02;2,12801210470046e-02;3,59472369660204e-03
KDM1A;8,55766905345799e-02;1,01027252895214e-01;7,26088304870243e-02
LUZP1;1,01429631352358e-01;1,28411468658696e-01;7,87834206936461e-02
LINC01355;3,94830252034027e-03;1,39563727824390e-03;6,09078800631229e-03
HNRNPR;3,59613817646812e-01;3,77857793365668e-01;3,44301409055400e-01
ZNF436;2,28417299837268e-03;2,32698489286053e-03;2,24824041267576e-03
ZNF436-AS1;5,34635727434362e-03;6,96211263046155e-03;3,99023256896656e-03
TCEA3;9,53115387499421e-03;1,06246251616160e-02;8,61338905323857e-03
E2F2;1,39752533976627e-02;1,92709815724019e-02;9,53047914175045e-03
ID3;2,46709094069803e-02;2,06695761902432e-02;2,80292809631177e-02
MDS2;2,89880006897651e-03;9,51958636071853e-04;4,53280966988356e-03
RPL11;1,50581428384879e+00;1,44627073153434e+00;1,55578996985459e+00
ELOA-AS1;7,57041404797745e-03;6,46027613735214e-03;8,50216738629954e-03
ELOA;8,27759979705863e-02;8,52474680856573e-02;8,07016606218297e-02
PITHD1;1,50202829979403e-01;1,66187575236819e-01;1,36786623206106e-01
LYPLA2;7,44355415118225e-02;8,43545441334416e-02;6,61103922514812e-02
GALE;2,00233899399461e-02;2,32170662001880e-02;1,73428954819880e-02
HMGCL;2,96113552641837e-02;2,78974961432586e-02;3,10498197486875e-02
FUCA1;3,31004251207025e-02;2,41031635665606e-02;4,06519449891724e-02
CNR2;1,08143060714610e-02;5,80789558886336e-03;1,50162521860150e-02
PNRC2;2,92163693664998e-01;3,25592144595607e-01;2,64106755467123e-01
SRSF10;4,11235708794745e-01;4,75021866541930e-01;3,57699148291014e-01
IFNLR1;3,18037669367451e-03;2,87184669627374e-03;3,43932997533368e-03
STPG1;6,43219173178391e-03;5,85134903981069e-03;6,91970063685426e-03
NIPAL3;3,27446136189266e-02;2,97853608658615e-02;3,52283533464114e-02
RCAN3AS;2,04557422824427e-03;1,85931635301459e-03;2,20190291080973e-03
RCAN3;9,20465473865811e-02;8,55967207210211e-02;9,74599716735234e-02
NCMAP-DT;1,11967354379786e-02;7,69900987958283e-03;1,41324224678306e-02
SRRM1;6,68617502177793e-01;7,33575383940161e-01;6,14097498308791e-01
CLIC4;4,62186323978205e-02;6,31588949212615e-02;3,20004474253086e-02
RUNX3;2,09735193672736e-01;2,61811463610064e-01;1,66026895904456e-01
AL031432.1;9,13971711686159e-04;7,83433300231297e-04;1,02353431601504e-03
SYF2;4,69951641036408e-01;5,26759931939878e-01;4,22271695880886e-01
AL031432.4;4,82833535642448e-03;6,59268902925830e-03;3,34749013088151e-03
RSRP1;3,91921584948175e-01;3,78399224359600e-01;4,03271079907143e-01
AL031432.3;2,48937005525946e-03;3,13934534807537e-03;1,94383724972995e-03
RHD;7,57276089299497e-03;1,33389529570143e-02;2,73312011176088e-03
TMEM50A;3,72392656783622e-01;4,01108263574821e-01;3,48291270610284e-01
RHCE;1,27495471195800e-02;1,96948309827676e-02;6,92027909514657e-03
MACO1;7,97762004284734e-02;1,01413449710781e-01;6,16157727393212e-02
LDLRAP1;3,11186373158623e-02;2,39289958379722e-02;3,71529978977737e-02
MAN1C1;9,53436119782184e-03;8,70425918036831e-03;1,02310767306465e-02
AL031280.1;7,70903210728186e-03;3,60510644656257e-03;1,11535108499698e-02
SELENON;4,05938090214423e-02;5,42988108334769e-02;2,90910208832726e-02
AL020996.1;3,47058382097170e-03;3,08847014672377e-03;3,79129684967863e-03
MTFR1L;4,06218511884175e-02;4,34190613941097e-02;3,82741159005790e-02
AUNIP;5,03116496498261e-03;5,80601435815657e-03;4,38082368587070e-03
PAQR7;1,21858226200056e-02;1,49050673788774e-02;9,90352475634067e-03
STMN1;1,56254798444269e-01;1,51009191161882e-01;1,60657505576520e-01
PAFAH2;1,83477924041297e-02;2,24960199225515e-02;1,48661305300370e-02
PDIK1L;2,19948805845855e-02;2,15251922173741e-02;2,23890962040428e-02
FAM110D;1,55962515200031e-03;1,07357397436603e-03;1,96757429329305e-03
ZNF593;1,19563411789458e-01;1,51374423602038e-01;9,28640115004611e-02
CNKSR1;1,84318973054366e-03;2,07329597413601e-03;1,65005853613632e-03
CEP85;1,52714576592789e-02;1,88776425414958e-02;1,22447392935223e-02
SH3BGRL3;1,13719091264147e+00;1,11885992559744e+00;1,15257635098165e+00
UBXN11;1,18293443840114e-01;1,56846731003466e-01;8,59351632391848e-02
CD52;6,57542573225774e-01;4,76557914298784e-01;8,09445376045399e-01
ZNF683;1,46300360652982e-02;1,53034151273249e-02;1,40648601686872e-02
DHDDS;3,92549677287627e-02;3,99457802915828e-02;3,86751596658169e-02
HMGN2;6,84888293431827e-01;6,91327433460971e-01;6,79483838579278e-01
RPS6KA1;9,68647101700743e-02;9,88731224582146e-02;9,51790233411760e-02
ARID1A;2,27384941724360e-01;2,31754982154304e-01;2,23717109358461e-01
PIGV;1,28387643930799e-02;1,34187040397591e-02;1,23520134257930e-02
ZDHHC18;4,61238128252183e-02;5,81312354376300e-02;3,60458252196452e-02
GPN2;2,82069265243438e-02;3,24454138901298e-02;2,46495083741227e-02
GPATCH3;2,64239812420247e-02;2,97482501452733e-02;2,36338786624835e-02
NUDC;2,20174225093318e-01;2,38568308497180e-01;2,04735829149097e-01
TRNP1;3,91497366623003e-03;4,92096012232917e-03;3,07063601249725e-03
SLC9A1;2,58545951190610e-02;3,06056223166941e-02;2,18669955519404e-02
WDTC1;4,46896754225766e-02;4,86226767107305e-02;4,13886557521482e-02
TMEM222;4,18664475076957e-02;5,00179632183789e-02;3,50247732408149e-02
SYTL1;1,05790727320470e-01;9,44384992145827e-02;1,15318801565855e-01
MAP3K6;1,02283358047630e-02;1,26084401434827e-02;8,23068295286837e-03
GPR3;6,42659506638484e-04;9,98630740997849e-04;3,43888171305790e-04
WASF2;3,57380274004999e-01;3,03007488515022e-01;4,03016067458463e-01
AHDC1;2,10222987995096e-02;2,54660674634496e-02;1,72925853578482e-02
FGR;2,53643982197010e-01;2,79989946138528e-01;2,31531468410326e-01
IFI6;3,12269427201286e-01;5,26729876510311e-01;1,32269953560050e-01
FAM76A;6,44957135280107e-02;6,60040265707409e-02;6,32297665683155e-02
STX12;1,05607814081718e-01;1,19956126392210e-01;9,35650869875155e-02
AL020997.2;2,20815105248639e-03;2,45996296577436e-03;1,99680200423779e-03
