"","interaction_id","sender_cell_type","sender_gene","receiver_cell_type","receiver_gene","sender_pval","receiver_pval","sender_logfc","receiver_logfc"
"11156","T:CD99_DC:PILRA","T","CD99","DC","PILRA",NA,NA,NA,NA
"11157","T:CIRBP_DC:TREM1","T","CIRBP","DC","TREM1",NA,NA,NA,NA
"11158","T:COPA_DC:CD74","T","COPA","DC","CD74",NA,NA,NA,NA
"11159","T:CRTAM_DC:ILDR2","T","CRTAM","DC","ILDR2",NA,NA,NA,NA
"11160","T:CXCL8_DC:SDC2","T","CXCL8","DC","SDC2",NA,NA,NA,NA
"11161","T:FABP5_DC:RXRA","T","FABP5","DC","RXRA",NA,NA,NA,NA
"11162","T:GNAI2_DC:S1PR1","T","GNAI2","DC","S1PR1",NA,NA,NA,NA
"11163","T:GPI_DC:AMFR","T","GPI","DC","AMFR",NA,NA,NA,NA
"11164","T:GZMB_DC:IGF2R","T","GZMB","DC","IGF2R",NA,NA,NA,NA
"11165","T:HLA-A_DC:APLP2","T","HLA-A","DC","APLP2",NA,NA,NA,NA
"11166","T:HLA-A_DC:LILRB1","T","HLA-A","DC","LILRB1",NA,NA,NA,NA
"11167","T:HLA-A_DC:LILRB2","T","HLA-A","DC","LILRB2",NA,NA,NA,NA
"11168","T:HLA-B_DC:CANX","T","HLA-B","DC","CANX",NA,NA,NA,NA
"11169","T:HLA-B_DC:LILRB1","T","HLA-B","DC","LILRB1",NA,NA,NA,NA
"11170","T:HLA-B_DC:LILRB2","T","HLA-B","DC","LILRB2",NA,NA,NA,NA
"11171","T:HLA-C_DC:CD53","T","HLA-C","DC","CD53",NA,NA,NA,NA
"11172","T:HLA-C_DC:CD81","T","HLA-C","DC","CD81",NA,NA,NA,NA
"11173","T:HLA-C_DC:LILRB1","T","HLA-C","DC","LILRB1",NA,NA,NA,NA
"11174","T:HLA-C_DC:LILRB2","T","HLA-C","DC","LILRB2",NA,NA,NA,NA
"11175","T:HLA-DRA_DC:CD37","T","HLA-DRA","DC","CD37",NA,NA,NA,NA
"11176","T:HLA-DRA_DC:CD53","T","HLA-DRA","DC","CD53",NA,NA,NA,NA
"11177","T:HLA-DRA_DC:CD63","T","HLA-DRA","DC","CD63",NA,NA,NA,NA
"11178","T:HLA-DRA_DC:CD81","T","HLA-DRA","DC","CD81",NA,NA,NA,NA
"11179","T:HLA-DRA_DC:CD82","T","HLA-DRA","DC","CD82",NA,NA,NA,NA
"11180","T:HLA-DRB1_DC:CD37","T","HLA-DRB1","DC","CD37",NA,NA,NA,NA
"11181","T:HLA-DRB1_DC:CD53","T","HLA-DRB1","DC","CD53",NA,NA,NA,NA
"11182","T:HLA-DRB1_DC:CD81","T","HLA-DRB1","DC","CD81",NA,NA,NA,NA
"11183","T:HLA-DRB1_DC:CD82","T","HLA-DRB1","DC","CD82",NA,NA,NA,NA
"11184","T:HLA-F_DC:LILRB1","T","HLA-F","DC","LILRB1",NA,NA,NA,NA
"11185","T:HLA-F_DC:LILRB2","T","HLA-F","DC","LILRB2",NA,NA,NA,NA
"11186","T:HMGB1_DC:CXCR4","T","HMGB1","DC","CXCR4",NA,NA,NA,NA
"11187","T:HMGB1_DC:HAVCR2","T","HMGB1","DC","HAVCR2",NA,NA,NA,NA
"11188","T:HMGB1_DC:TLR4","T","HMGB1","DC","TLR4",NA,NA,NA,NA
"11189","T:HSP90B1_DC:TLR4","T","HSP90B1","DC","TLR4",NA,NA,NA,NA
"11190","T:HSPA8_DC:LDLR","T","HSPA8","DC","LDLR",NA,NA,NA,NA
"11191","T:ICAM2_DC:ITGAL","T","ICAM2","DC","ITGAL",NA,NA,NA,NA
"11192","T:ICAM2_DC:ITGB2","T","ICAM2","DC","ITGB2",NA,NA,NA,NA
"11193","T:IFITM1_DC:CD81","T","IFITM1","DC","CD81",NA,NA,NA,NA
"11194","T:IFNG_DC:IFNGR1","T","IFNG","DC","IFNGR1",NA,NA,NA,NA
