"","interaction","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"8940","HSPC:ICAM4_HSPC:ITGA2B",NA,NA,NA,NA,NA,NA,NA,0.79548329042445,0.79548329042445,0.79548329042445,0.79548329042445,0.79548329042445,0.79548329042445
"8941","HSPC:PLTP_HSPC:ABCA1",NA,NA,NA,NA,NA,NA,NA,1.03465253868029,NA,NA,NA,NA,NA
"8942","NK:IGFBP7_HSPC:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,0.389742481565792,0.389742481565792,0.389742481565792,0.389742481565792,NA
"8943","NK:LRPAP1_HSPC:CD320",NA,NA,NA,NA,NA,NA,NA,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397
"8944","DC:S100A12_HSPC:CD36",NA,NA,NA,NA,NA,NA,NA,0.0812097084341933,0.0812097084341933,0.0812097084341933,0.0812097084341933,NA,NA
"8945","Gran:PLAU_HSPC:ITGA5",NA,NA,NA,NA,NA,NA,NA,0.361676355554395,NA,NA,NA,NA,NA
"8946","Gran:PLAU_HSPC:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,NA,NA,NA
"8947","Gran:PLAU_HSPC:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.379602786631104,NA,NA,NA,NA,NA
"8948","B:AFDN_HSPC:NECTIN1",NA,NA,NA,NA,NA,NA,NA,4.10373953030677,NA,NA,NA,NA,NA
"8949","B:LRPAP1_HSPC:CD320",NA,NA,NA,NA,NA,NA,NA,0.366446697804397,0.366446697804397,0.366446697804397,0.366446697804397,NA,0.366446697804397
"8950","Ery:AGRN_HSPC:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.0909970943189165,NA,NA,NA,NA,NA
"8951","Ery:APOE_HSPC:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.0787158778742951,NA,NA,NA,NA,NA
"8952","Ery:CD40LG_HSPC:ITGB2",NA,NA,NA,NA,NA,NA,NA,0.370234124156625,NA,0.370234124156625,NA,NA,NA
"8953","Ery:CD7_HSPC:ADAM15",NA,NA,NA,NA,NA,NA,NA,0.241446740570808,NA,0.241446740570808,NA,NA,NA
"8954","Ery:COL6A5_HSPC:CD44",NA,NA,NA,NA,NA,NA,NA,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391,0.0513541626877391
"8955","Ery:IGFBP7_HSPC:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,0.389742481565792,0.389742481565792,0.389742481565792,0.389742481565792,NA
"8956","Ery:LIN7C_HSPC:ABCA1",NA,NA,NA,NA,NA,NA,NA,0.893667219290126,NA,NA,NA,NA,NA
"8957","Ery:NID1_HSPC:ITGB1",NA,NA,NA,NA,NA,NA,NA,0.242239482263886,NA,NA,0.242239482263886,0.242239482263886,0.242239482263886
"8958","Ery:PLTP_HSPC:ABCA1",NA,NA,NA,NA,NA,NA,NA,1.03465253868029,NA,NA,NA,NA,NA
"8959","Ery:TNXB_HSPC:ITGA2B",NA,NA,NA,NA,NA,NA,NA,0.0642451807571841,0.0642451807571841,0.0642451807571841,0.0642451807571841,0.0642451807571841,0.0642451807571841
"8960","Mono:HLA-DMA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8961","Mono:HLA-DMB_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8962","Mono:HLA-DQA1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8963","Mono:HLA-DQA2_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,NA,NA,NA,NA,NA
"8964","Mono:HLA-DQB1_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.22262264354736,0.22262264354736,0.22262264354736,0.22262264354736,NA,NA
"8965","Mono:HLA-DRA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
"8966","Mono:HLA-DRB5_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,NA,0.172615216054918,NA,NA,NA
"8967","Mono:IGFBP7_Ery:MPIG6B",NA,NA,NA,NA,NA,NA,NA,0.389742481565792,NA,NA,NA,NA,NA
"8968","Mono:IL10_Ery:IL10RB",NA,NA,NA,NA,NA,NA,NA,2.77248468920858,2.77248468920858,NA,NA,NA,NA
"8969","Mono:IL16_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,1.31898782296499,NA,1.31898782296499,1.31898782296499,NA,NA
"8970","Mono:OSM_Ery:IL6ST",NA,NA,NA,NA,NA,NA,NA,1.86287019795952,1.86287019795952,1.86287019795952,NA,NA,NA
"8971","Mono:SYK_Ery:FCGR2A",NA,NA,NA,NA,NA,NA,NA,3.64875684999299,3.64875684999299,NA,3.64875684999299,NA,NA
"8972","Mono:THBS1_Ery:ITGA2B",NA,NA,NA,NA,NA,NA,NA,0.609253155427055,0.609253155427055,0.609253155427055,0.609253155427055,NA,0.609253155427055
"8973","Mono:TNFSF14_Ery:TNFRSF14",NA,NA,NA,NA,NA,NA,NA,5.76736028145837,NA,NA,NA,NA,NA
"8974","T:HLA-DRA_Ery:CD4",NA,NA,NA,NA,NA,NA,NA,0.172615216054918,0.172615216054918,0.172615216054918,0.172615216054918,NA,NA
