"gene_symbol"	"inDB"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"ACTB"	FALSE	FALSE	FALSE	10688.6222107603	3	TRUE
"ACTG1"	FALSE	FALSE	FALSE	3685.33403677795	3	TRUE
"ACTG2"	FALSE	FALSE	FALSE	38.4112616610052	3	TRUE
"ACTL10"	FALSE	FALSE	FALSE	5.19805172729439	3	TRUE
"ACTL6A"	FALSE	FALSE	FALSE	67.0947695423559	3	TRUE
"ACTN1"	FALSE	FALSE	FALSE	123.918616557833	3	TRUE
"ACTN4"	FALSE	FALSE	FALSE	232.337946652457	3	TRUE
"ACTR10"	FALSE	FALSE	FALSE	112.224258791572	3	TRUE
"ACTR1A"	FALSE	FALSE	FALSE	80.6475894783414	3	TRUE
"ACTR1B"	FALSE	FALSE	FALSE	63.3368545481741	3	TRUE
"ACTR2"	TRUE	TRUE	TRUE	246.916942094954	3	TRUE
"ACTR3"	FALSE	FALSE	FALSE	383.172196846757	3	TRUE
"ACTR3B"	FALSE	FALSE	FALSE	7.4872626328813	3	TRUE
"ACTR3C"	FALSE	FALSE	FALSE	8.94975622057694	3	TRUE
"ACTR5"	FALSE	FALSE	FALSE	8.17618212280376	3	TRUE
"ACTR6"	FALSE	FALSE	FALSE	35.5220012077227	3	TRUE
"ACTR8"	FALSE	FALSE	FALSE	16.9034324747178	3	TRUE
"ACVR1"	TRUE	TRUE	TRUE	14.1246192106631	3	TRUE
"ACVR1B"	TRUE	FALSE	TRUE	20.5775943879614	3	TRUE
"ACVR1C"	TRUE	FALSE	TRUE	5.98658120819676	3	TRUE
"ACVR2A"	TRUE	TRUE	TRUE	7.93955442760335	3	TRUE
"ACVR2B"	TRUE	TRUE	TRUE	3.8486888259588	3	TRUE
"ACVRL1"	TRUE	TRUE	TRUE	121.110767782982	3	TRUE
"ACY1"	FALSE	FALSE	FALSE	7.88888857962075	3	TRUE
"ACY3"	FALSE	FALSE	FALSE	16.4989000517582	3	TRUE
"ACYP1"	FALSE	FALSE	FALSE	41.6733788408743	3	TRUE
"ACYP2"	FALSE	FALSE	FALSE	55.0418568865599	3	TRUE
"ADA"	TRUE	TRUE	FALSE	45.8836739808819	3	TRUE
"ADAL"	FALSE	FALSE	FALSE	17.7195787645461	3	TRUE
"ADAM10"	TRUE	TRUE	TRUE	46.7353835026342	3	TRUE
"ADAM12"	TRUE	TRUE	TRUE	4.80391123873193	3	TRUE
"ADAM15"	TRUE	TRUE	TRUE	87.5808000509449	3	TRUE
"ADAM17"	TRUE	TRUE	TRUE	33.1651773631149	3	TRUE
"ADAM19"	FALSE	FALSE	FALSE	28.484011476178	3	TRUE
"ADAM28"	TRUE	TRUE	FALSE	70.227226506892	3	TRUE
"ADAM8"	FALSE	FALSE	FALSE	26.4020302356696	3	TRUE
"ADAM9"	TRUE	TRUE	FALSE	42.8366594881443	3	TRUE
"ADAMDEC1"	FALSE	FALSE	FALSE	1500.93854446018	3	TRUE
"ADAMTS1"	FALSE	FALSE	FALSE	21.6052648126553	3	TRUE
"ADAMTS2"	FALSE	FALSE	FALSE	6.60523649371371	3	TRUE
"ADAMTS4"	FALSE	FALSE	FALSE	7.71240763834002	3	TRUE
"ADAMTS5"	FALSE	FALSE	FALSE	3.94335682132547	3	TRUE
"ADAMTS6"	FALSE	FALSE	FALSE	4.75837981221165	3	TRUE
"ADAMTS7"	FALSE	FALSE	FALSE	3.73112020983685	3	TRUE
"ADAMTS9"	FALSE	FALSE	FALSE	13.3817726585049	3	TRUE
"ADAMTS9-AS2"	FALSE	FALSE	FALSE	3.32923336460221	3	TRUE
"ADAMTSL4"	FALSE	FALSE	FALSE	4.8548207486961	3	TRUE
"ADAP1"	FALSE	FALSE	FALSE	35.9876498344444	3	TRUE
"ADAP2"	FALSE	FALSE	FALSE	48.0891256588362	3	TRUE
"ADAR"	FALSE	FALSE	FALSE	117.977141115176	3	TRUE
"ADARB1"	FALSE	FALSE	FALSE	10.0048160009658	3	TRUE
"ADAT1"	FALSE	FALSE	FALSE	17.88035350785	3	TRUE
"ADAT2"	FALSE	FALSE	FALSE	8.9652760407326	3	TRUE
"ADAT3"	FALSE	FALSE	FALSE	3.45120963123698	3	TRUE
"ADC"	FALSE	FALSE	FALSE	6.74146487570785	3	TRUE
"ADCK1"	FALSE	FALSE	FALSE	7.0640556687598	3	TRUE
"ADCK2"	FALSE	FALSE	FALSE	26.3624463844504	3	TRUE
"ADCK3"	FALSE	FALSE	FALSE	46.9662766662003	3	TRUE
"ADCK4"	FALSE	FALSE	FALSE	15.5252462771633	3	TRUE
"ADCK5"	FALSE	FALSE	FALSE	25.8573547572994	3	TRUE
"ADCY3"	FALSE	FALSE	FALSE	14.2862858836184	3	TRUE
"ADCY4"	FALSE	FALSE	FALSE	17.7360424401706	3	TRUE
"ADCY6"	FALSE	FALSE	FALSE	24.6516009444552	3	TRUE
