id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy
265,CPI-SS09FAC4977,55,1073,OmniPath,user_curated
266,CPI-SS01A6823FA,360,1073,OmniPath,user_curated
267,CPI-SS0CD2CFF62,125,1073,OmniPath,user_curated
268,CPI-SS0EFE0B07A,1057,1073,OmniPath,user_curated
269,CPI-SS0F9BDDAC3,721,1073,OmniPath,user_curated
270,CPI-SS03DC18121,550,1073,OmniPath,user_curated
271,CPI-SS05E6C34AB,398,1253,OmniPath,user_curated
272,CPI-SS0122128E0,282,1253,OmniPath,user_curated
273,CPI-SS0775B593D,44,1253,OmniPath,user_curated
274,CPI-SS09A4576D9,405,1253,OmniPath,user_curated
275,CPI-SS0A2DEA223,280,1253,OmniPath,user_curated
276,CPI-SS086F43A39,418,1253,OmniPath,user_curated
277,CPI-SS07D0E29D8,277,1253,OmniPath,user_curated
278,CPI-SS0126A9645,366,1253,OmniPath,user_curated
279,CPI-SS0D4BE9D37,949,1253,OmniPath,user_curated
280,CPI-SS03666DA7A,398,1101,OmniPath,user_curated
281,CPI-SS0B01D306C,604,1101,OmniPath,user_curated
282,CPI-SS080A7F43D,91,1101,OmniPath,user_curated
283,CPI-SS0B9E7D0EC,603,1101,OmniPath,user_curated
284,CPI-SS0A45B5F00,55,1101,OmniPath,user_curated
285,CPI-SS0C090A257,542,1101,OmniPath,user_curated
286,CPI-SS0D1D95883,599,1101,OmniPath,user_curated
287,CPI-SS036B7E46C,667,1101,OmniPath,user_curated
288,CPI-SS000090C4F,1098,1101,OmniPath,user_curated
289,CPI-SS0ABB32BF0,325,1101,OmniPath,user_curated
290,CPI-SS00AA0910B,354,1101,OmniPath,user_curated
291,CPI-SS05CA2B2B4,825,1101,OmniPath,user_curated
292,CPI-SS0E61A7F26,398,1072,OmniPath,user_curated
293,CPI-SS0667AAD16,57,1072,OmniPath,user_curated
294,CPI-SS06C9E07BC,736,1072,OmniPath,user_curated
295,CPI-SS09E59A16E,398,1651,OmniPath,user_curated
296,CPI-SS00C9DE87A,227,1651,OmniPath,user_curated
297,CPI-SS0056A566A,98,1651,OmniPath,user_curated
298,CPI-SS0586343D6,398,996,OmniPath,user_curated
299,CPI-SS0112890A5,125,996,OmniPath,user_curated
300,CPI-SS073232B30,288,996,OmniPath,user_curated
301,CPI-SS0BD6EE954,289,996,OmniPath,user_curated
302,CPI-SS0CD40D735,290,996,OmniPath,user_curated
303,CPI-SS00FD788E8,398,812,OmniPath,user_curated
304,CPI-SS04DDDC0F1,261,812,OmniPath,user_curated
305,CPI-SS0AE8C3A27,471,812,OmniPath,user_curated
306,CPI-SS01B37D7D8,474,812,OmniPath,user_curated
307,CPI-SS044094057,407,812,OmniPath,user_curated
308,CPI-SS058209EC7,257,812,OmniPath,user_curated
309,CPI-SS071CE1554,452,812,OmniPath,user_curated
310,CPI-SS0A94DAC37,453,812,OmniPath,user_curated
311,CPI-SS072BEC00E,472,812,OmniPath,user_curated
312,CPI-SS07EA09568,587,812,OmniPath,user_curated
313,CPI-SS07D6968C7,398,1087,OmniPath,user_curated
314,CPI-SS069924427,271,1087,OmniPath,user_curated
315,CPI-SS00A6F74BF,962,1087,OmniPath,user_curated
316,CPI-SS063502AF2,488,1087,OmniPath,user_curated
317,CPI-SS0F088EA35,591,1087,OmniPath,user_curated
318,CPI-SS0A3CA0C16,398,745,OmniPath,user_curated
319,CPI-SS027E3D40A,352,745,OmniPath,user_curated
320,CPI-SS00581282E,274,745,OmniPath,user_curated
321,CPI-SS0BAC17AD7,398,738,OmniPath,user_curated
322,CPI-SS0023122D0,278,738,OmniPath,user_curated
323,CPI-SS0DB12AE88,546,738,OmniPath,user_curated
324,CPI-SS05E41FA24,626,738,OmniPath,user_curated
325,CPI-SS059608C3C,398,952,OmniPath,user_curated
326,CPI-SS0792B50D8,532,952,OmniPath,user_curated
327,CPI-SS0F1F74938,288,952,OmniPath,user_curated
328,CPI-SS0D97012FB,289,952,OmniPath,user_curated
329,CPI-SS0D0DC29DB,290,952,OmniPath,user_curated
330,CPI-SS0B5CBB631,736,952,OmniPath,user_curated
331,CPI-SS0C39D566E,398,464,OmniPath,user_curated
332,CPI-SS02DC18F33,457,464,OmniPath,user_curated
333,CPI-SS02809AC43,306,464,OmniPath,user_curated
334,CPI-SS0579FA162,307,464,OmniPath,user_curated
335,CPI-SS0E41702C1,403,464,OmniPath,user_curated
336,CPI-SS0938CF473,398,808,OmniPath,user_curated
337,CPI-SS01A6D6A64,309,808,OmniPath,user_curated
338,CPI-SS0D8632EB4,417,808,OmniPath,user_curated
339,CPI-SS03D5CBF55,621,808,OmniPath,user_curated
340,CPI-SS056AA08CF,729,808,OmniPath,user_curated
341,CPI-SS085021184,398,799,OmniPath,user_curated
342,CPI-SS0698C4DC4,541,799,OmniPath,user_curated
343,CPI-SS07AB1C381,359,799,OmniPath,user_curated
344,CPI-SS0C62E5DD8,501,799,OmniPath,user_curated
345,CPI-SS040630206,707,799,OmniPath,user_curated
346,CPI-SS0D04AE221,708,799,OmniPath,user_curated
347,CPI-SS0DE107E3C,398,800,OmniPath,user_curated
348,CPI-SS0C2B9C062,623,800,OmniPath,user_curated
349,CPI-SS0315F51DD,541,800,OmniPath,user_curated
350,CPI-SS0C491A3C1,359,800,OmniPath,user_curated
351,CPI-SS08102DC9E,501,800,OmniPath,user_curated
352,CPI-SS0F562FEA5,707,800,OmniPath,user_curated
353,CPI-SS09185EA8F,708,800,OmniPath,user_curated
354,CPI-SS001BAA737,385,800,OmniPath,user_curated
355,CPI-SS08D8EC856,398,739,OmniPath,user_curated
356,CPI-SS0F739D3DB,375,739,OmniPath,user_curated
357,CPI-SS0A3377A7A,524,739,OmniPath,user_curated
358,CPI-SS026FA5A7E,398,493,OmniPath,user_curated
359,CPI-SS002E626E0,488,493,OmniPath,user_curated
360,CPI-SS0FC2D9C72,398,567,OmniPath,user_curated
361,CPI-SS00C3BE4D6,398,627,OmniPath,user_curated
362,CPI-SS00BCF2C99,398,687,OmniPath,user_curated
363,CPI-SS0130AD5E2,398,740,OmniPath,user_curated
364,CPI-SS0E69C2564,714,740,OmniPath,user_curated
365,CPI-SS09BED5DD4,398,746,OmniPath,user_curated
366,CPI-SS041D516F0,398,793,OmniPath,user_curated
367,CPI-SS09B92F236,417,793,OmniPath,user_curated
368,CPI-SS0696491A3,621,793,OmniPath,user_curated
369,CPI-SS0CA5B3B8E,729,793,OmniPath,user_curated
370,CPI-SS05109BC75,398,1758,OmniPath,user_curated
371,CPI-SS0CA4C783F,398,1859,OmniPath,user_curated
372,CPI-SS091AAE861,398,1936,OmniPath,user_curated
373,CPI-SS0D321BE49,398,1938,OmniPath,user_curated
374,CPI-SS03BD27349,398,2105,OmniPath,user_curated
375,CPI-SS00EC64266,475,2105,OmniPath,user_curated
376,CPI-SS0A7B487D4,2,252,OmniPath,user_curated
377,CPI-SS0C08F5056,14,252,OmniPath,user_curated
378,CPI-SS029839DC3,77,252,OmniPath,user_curated
379,CPI-SS0F653A282,128,252,OmniPath,user_curated
380,CPI-SS070E5DE9E,159,252,OmniPath,user_curated
381,CPI-SS0FEC87269,2,1005,OmniPath,user_curated
382,CPI-SS00A8596B5,638,1005,OmniPath,user_curated
383,CPI-SS02AB83042,712,1005,OmniPath,user_curated
384,CPI-SS044DF8749,2,1933,OmniPath,user_curated
385,CPI-SS0861B132C,14,1933,OmniPath,user_curated
386,CPI-SS0BDBE0064,128,1933,OmniPath,user_curated
387,CPI-SS0C076E9DD,159,1933,OmniPath,user_curated
388,CPI-SS05858B04B,166,1933,OmniPath,user_curated
389,CPI-SS0EFD62A43,178,1933,OmniPath,user_curated
390,CPI-SS02652CFD6,1341,1933,OmniPath,user_curated
391,CPI-SS01BE06CC8,1377,1933,OmniPath,user_curated
392,CPI-SS0DE2D15D8,14,1003,OmniPath,user_curated
393,CPI-SS082AD7B6A,128,1003,OmniPath,user_curated
394,CPI-SS0C38BCA54,159,1003,OmniPath,user_curated
395,CPI-SS046763A14,166,1003,OmniPath,user_curated
396,CPI-SS0D1199D1E,178,1003,OmniPath,user_curated
397,CPI-SS04D253AB9,279,1003,OmniPath,user_curated
398,CPI-SS06EB81B32,456,1003,OmniPath,user_curated
399,CPI-SS0D996D7E0,933,1003,OmniPath,user_curated
400,CPI-SS0740CE6D5,77,416,OmniPath,user_curated
401,CPI-SS0C4D02A56,151,416,OmniPath,user_curated
402,CPI-SS01991D929,77,1460,OmniPath,user_curated
403,CPI-SS0BEC35387,907,1460,OmniPath,user_curated
404,CPI-SS069F5D044,77,2177,OmniPath,user_curated
405,CPI-SS0291A32E0,128,1675,OmniPath,user_curated
406,CPI-SS0E0A587AC,1377,1675,OmniPath,user_curated
407,CPI-SS00E2C8381,1151,1675,OmniPath,user_curated
408,CPI-SS0D4A11431,47,1675,OmniPath,user_curated
409,CPI-SS02ADD742C,48,1675,OmniPath,user_curated
410,CPI-SS0A93EEAEB,65,1675,OmniPath,user_curated
411,CPI-SS0648E8525,66,1675,OmniPath,user_curated
412,CPI-SS002CC4C02,394,1675,OmniPath,user_curated
413,CPI-SS01E6C2BB8,507,1675,OmniPath,user_curated
414,CPI-SS0DF9024C0,1150,1675,OmniPath,user_curated
415,CPI-SS036707F4C,1152,1675,OmniPath,user_curated
416,CPI-SS0FE9D6F11,1153,1675,OmniPath,user_curated
417,CPI-SS0C63218EC,638,1829,OmniPath,user_curated
418,CPI-SS08EAB58C3,1140,1829,OmniPath,user_curated
419,CPI-SS0D9FEB661,220,1829,OmniPath,user_curated
420,CPI-SS0EE0FBA0A,857,1829,OmniPath,user_curated
421,CPI-SS06A610206,1252,1829,OmniPath,user_curated
422,CPI-SS01E0F2D2C,1409,1829,OmniPath,user_curated
423,CPI-SS0E47E0E60,1757,1829,OmniPath,user_curated
424,CPI-SS00561BBD7,638,1477,OmniPath,user_curated
425,CPI-SS06792A8A1,585,1477,OmniPath,user_curated
426,CPI-SS0B67FD937,249,1477,OmniPath,user_curated
427,CPI-SS0F08B0F71,1190,1477,OmniPath,user_curated
428,CPI-SS0A8627ED6,638,1429,OmniPath,user_curated
429,CPI-SS08BEC44C6,408,1429,OmniPath,user_curated
430,CPI-SS001E7CB07,1022,1429,OmniPath,user_curated
431,CPI-SS06634D36A,725,1429,OmniPath,user_curated
432,CPI-SS01D36DA5A,638,1660,OmniPath,user_curated
433,CPI-SS0284B0805,545,1660,OmniPath,user_curated
434,CPI-SS066AC9053,883,1660,OmniPath,user_curated
435,CPI-SS0A6E30F80,813,1660,OmniPath,user_curated
436,CPI-SS0F1404617,1060,1660,OmniPath,user_curated
437,CPI-SS06B25AAB9,638,1511,OmniPath,user_curated
438,CPI-SS0F1A060D4,638,2011,OmniPath,user_curated
439,CPI-SS0B24A71FE,1140,2011,OmniPath,user_curated
440,CPI-SS06077A8A5,857,2011,OmniPath,user_curated
441,CPI-SS06FD10D98,1252,2011,OmniPath,user_curated
442,CPI-SS0C5E9FBFB,1409,2011,OmniPath,user_curated
443,CPI-SS02FBD007E,1757,2011,OmniPath,user_curated
444,CPI-SS00550260E,1661,2011,OmniPath,user_curated
445,CPI-SS0B990492C,1899,2011,OmniPath,user_curated
446,CPI-SS001254E9D,712,767,OmniPath,user_curated
447,CPI-SS0892EFE81,494,767,OmniPath,user_curated
448,CPI-SS0F8ABC300,114,767,OmniPath,user_curated
