id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
365,ANG_HUMAN,To_add,,,365
366,F11_HUMAN,To_add,,,366
367,MMP1_HUMAN,To_add,,,367
368,AMH_HUMAN,To_add,,,368
369,SLPI_HUMAN,To_add,,,369
370,C4BPA_HUMAN,To_add,,,370
371,VTN_HUMAN,To_add,,,371
372,PROC_HUMAN,To_add,,,372
373,ANXA1_HUMAN,To_add,,,373
374,PDGFA_HUMAN,To_add,,,374
375,RLN2_HUMAN,To_add,,,375
376,APOB_HUMAN,To_add,,,376
377,CSF2_HUMAN,To_add,,,377
378,TFF1_HUMAN,To_add,,,378
379,HRG_HUMAN,To_add,,,379
380,MAS1_HUMAN,To_add,,,380
381,THY1_HUMAN,To_add,,,381
382,A1BG_HUMAN,To_add,,,382
383,CD74_HUMAN,To_add,,,383
384,CD3D_HUMAN,To_add,,,384
385,S100B_HUMAN,To_add,,,385
386,VWF_HUMAN,To_add,,,386
387,SHBG_HUMAN,To_add,,,387
388,IGKV1-16_HUMAN,To_add,,,388
389,HLA-A_HUMAN,To_add,,,389
390,HLA-DPB1_HUMAN,To_add,,,390
391,ERBB2_HUMAN,To_add,,,391
392,WNT1_HUMAN,To_add,,,392
393,NTRK1_HUMAN,To_add,,,393
394,TP53_HUMAN,To_add,,,394
395,RLN1_HUMAN,To_add,,,395
396,GNAI2_HUMAN,To_add,,,396
397,IFNW1_HUMAN,To_add,,,397
398,IFNA6_HUMAN,To_add,,,398
399,IFNA4_HUMAN,To_add,,,399
400,IFNA16_HUMAN,To_add,,,400
401,IGF1_HUMAN,To_add,,,401
402,ATP1B1_HUMAN,To_add,,,402
403,APP_HUMAN,To_add,,,403
404,APOD_HUMAN,To_add,,,404
405,ITGB3_HUMAN,To_add,,,405
406,ITGB2_HUMAN,To_add,,,406
407,S100A8_HUMAN,To_add,,,407
408,INHA_HUMAN,To_add,,,408
409,IL4_HUMAN,To_add,,,409
410,IL5_HUMAN,To_add,,,410
411,SERPINE1_HUMAN,To_add,,,411
412,SERPING1_HUMAN,To_add,,,412
413,FGF1_HUMAN,To_add,,,413
414,IL6_HUMAN,To_add,,,414
415,EDN1_HUMAN,To_add,,,415
416,ICAM1_HUMAN,To_add,,,416
417,HLA-DQB2_HUMAN,To_add,,,417
418,SERPINA7_HUMAN,To_add,,,418
419,ITGB1_HUMAN,To_add,,,419
420,COL5A2_HUMAN,To_add,,,420
421,CD5_HUMAN,To_add,,,421
422,INSR_HUMAN,To_add,,,422
