id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1476,ENSG00000278201,KIR2DL4,KIR2DL4,1868
1477,ENSG00000276779,KIR2DL4,KIR2DL4,1868
1478,ENSG00000275848,KIR2DL4,KIR2DL4,1868
1479,ENSG00000278430,KIR2DL4,KIR2DL4,1868
1480,ENSG00000277076,KIR2DL4,KIR2DL4,1868
1481,ENSG00000283961,KIR2DL4,KIR2DL4,1868
1482,ENSG00000284365,KIR2DL4,KIR2DL4,1868
1483,ENSG00000277964,KIR2DL4,KIR2DL4,1868
1484,ENSG00000284460,KIR2DL4,KIR2DL4,1868
1485,ENSG00000284013,KIR2DL4,KIR2DL4,1868
1486,ENSG00000283869,KIR2DL4,KIR2DL4,1868
1487,ENSG00000278116,KIR2DL5A,KIR2DL5A,1658
1488,ENSG00000276177,KIR2DL5A,KIR2DL5A,1658
1489,ENSG00000274676,KIR2DL5A,KIR2DL5A,1658
1490,ENSG00000275596,KIR2DL5A,KIR2DL5A,1658
1491,ENSG00000274143,KIR2DL5A,KIR2DL5A,1658
1492,ENSG00000276686,KIR2DL5A,KIR2DL5A,1658
1493,ENSG00000276392,KIR2DL5A,KIR2DL5A,1658
1494,ENSG00000276387,KIR2DS1,KIR2DS1,1398
1495,ENSG00000275306,KIR2DS1,KIR2DS1,1398
1496,ENSG00000284120,KIR2DS1,KIR2DS1,1398
1497,ENSG00000278120,KIR2DS1,KIR2DS1,1398
1498,ENSG00000276327,KIR2DS1,KIR2DS1,1398
1499,ENSG00000273517,KIR2DS1,KIR2DS1,1398
1500,ENSG00000275421,KIR2DS1,KIR2DS1,1398
1501,ENSG00000273603,KIR2DS1,KIR2DS1,1398
1502,ENSG00000278304,KIR2DS1,KIR2DS1,1398
1503,ENSG00000278152,KIR2DS2,KIR2DS2,1032
1504,ENSG00000274438,KIR2DS2,KIR2DS2,1032
1505,ENSG00000275452,KIR2DS2,KIR2DS2,1032
1506,ENSG00000275735,KIR2DS2,KIR2DS2,1032
1507,ENSG00000275737,KIR2DS2,KIR2DS2,1032
1508,ENSG00000277885,KIR2DS2,KIR2DS2,1032
1509,ENSG00000276258,KIR2DS2,KIR2DS2,1032
1510,ENSG00000278300,KIR2DS2,KIR2DS2,1032
1511,ENSG00000276425,KIR2DS2,KIR2DS2,1032
1512,ENSG00000274518,KIR2DS2,KIR2DS2,1032
1513,ENSG00000276139,KIR2DS2,KIR2DS2,1032
1514,ENSG00000275253,KIR2DS2,KIR2DS2,1032
1515,ENSG00000277163,KIR2DS3,KIR2DS3,1396
1516,ENSG00000277657,KIR2DS3,KIR2DS3,1396
1517,ENSG00000284039,KIR2DS3,KIR2DS3,1396
1518,ENSG00000278306,KIR2DS3,KIR2DS3,1396
1519,ENSG00000276634,KIR2DS4,KIR2DS4,1033
1520,ENSG00000283846,KIR2DS4,KIR2DS4,1033
1521,ENSG00000275351,KIR2DS4,KIR2DS4,1033
1522,ENSG00000276885,KIR2DS4,KIR2DS4,1033
1523,ENSG00000276465,KIR2DS4,KIR2DS4,1033
1524,ENSG00000274947,KIR2DS4,KIR2DS4,1033
1525,ENSG00000274324,KIR2DS4,KIR2DS4,1033
1526,ENSG00000276154,KIR2DS4,KIR2DS4,1033
1527,ENSG00000284408,KIR2DS4,KIR2DS4,1033
1528,ENSG00000284244,KIR2DS4,KIR2DS4,1033
1529,ENSG00000274406,KIR2DS4,KIR2DS4,1033
1530,ENSG00000274533,KIR2DS4,KIR2DS4,1033
1531,ENSG00000275353,KIR2DS4,KIR2DS4,1033
1532,ENSG00000274921,KIR2DS4,KIR2DS4,1033
1533,ENSG00000277345,KIR2DS4,KIR2DS4,1033
1534,ENSG00000283779,KIR2DS4,KIR2DS4,1033
1535,ENSG00000274807,KIR2DS4,KIR2DS4,1033
1536,ENSG00000284307,KIR2DS4,KIR2DS4,1033
1537,ENSG00000283727,KIR2DS4,KIR2DS4,1033
1538,ENSG00000274957,KIR2DS4,KIR2DS4,1033
1539,ENSG00000276395,KIR2DS4,KIR2DS4,1033
1540,ENSG00000277078,KIR2DS4,KIR2DS4,1033
1541,ENSG00000275731,KIR2DS4,KIR2DS4,1033
1542,ENSG00000274714,KIR2DS4,KIR2DS4,1033
1543,ENSG00000273526,KIR2DS4,KIR2DS4,1033
1544,ENSG00000276209,KIR2DS4,KIR2DS4,1033
1545,ENSG00000273931,KIR2DS4,KIR2DS4,1033
1546,ENSG00000283882,KIR2DS4,KIR2DS4,1033
1547,ENSG00000221957,KIR2DS4,KIR2DS4,1033
1548,ENSG00000274739,KIR2DS5,KIR2DS5,1397
1549,ENSG00000288357,KIR2DS5,KIR2DS5,1397
1550,ENSG00000275545,KIR3DL1,KIR3DL1,1030
1551,ENSG00000284342,KIR3DL1,KIR3DL1,1030
1552,ENSG00000278368,KIR3DL1,KIR3DL1,1030
1553,ENSG00000276501,KIR3DL1,KIR3DL1,1030
1554,ENSG00000275786,KIR3DL1,KIR3DL1,1030
1555,ENSG00000275486,KIR3DL1,KIR3DL1,1030
1556,ENSG00000274146,KIR3DL1,KIR3DL1,1030
1557,ENSG00000276423,KIR3DL1,KIR3DL1,1030
1558,ENSG00000284093,KIR3DL1,KIR3DL1,1030
1559,ENSG00000277175,KIR3DL1,KIR3DL1,1030
1560,ENSG00000275288,KIR3DL1,KIR3DL1,1030
1561,ENSG00000277272,KIR3DL1,KIR3DL1,1030
1562,ENSG00000274920,KIR3DL1,KIR3DL1,1030
1563,ENSG00000275659,KIR3DL1,KIR3DL1,1030
1564,ENSG00000275717,KIR3DL1,KIR3DL1,1030
1565,ENSG00000278079,KIR3DL1,KIR3DL1,1030
1566,ENSG00000273518,KIR3DL1,KIR3DL1,1030
1567,ENSG00000284177,KIR3DL1,KIR3DL1,1030
1568,ENSG00000283827,KIR3DL1,KIR3DL1,1030
1569,ENSG00000283729,KIR3DL1,KIR3DL1,1030
1570,ENSG00000283731,KIR3DL1,KIR3DL1,1030
1571,ENSG00000283954,KIR3DL1,KIR3DL1,1030
1572,ENSG00000284589,KIR3DL1,KIR3DL1,1030
1573,ENSG00000167633,KIR3DL1,KIR3DL1,1030
1574,ENSG00000278427,KIR3DL1,KIR3DL1,1030
1575,ENSG00000274036,KIR3DL1,KIR3DL1,1030
1576,ENSG00000284426,KIR3DL1,KIR3DL1,1030
1577,ENSG00000276379,KIR3DL1,KIR3DL1,1030
1578,ENSG00000278856,KIR3DL1,KIR3DL1,1030
1579,ENSG00000276329,KIR3DL1,KIR3DL1,1030
1580,ENSG00000274948,KIR3DL1,KIR3DL1,1030
1581,ENSG00000273775,KIR3DL1,KIR3DL1,1030
1582,ENSG00000284381,KIR3DL2,KIR3DL2,1031
1583,ENSG00000284528,KIR3DL2,KIR3DL2,1031
1584,ENSG00000284192,KIR3DL2,KIR3DL2,1031
1585,ENSG00000283951,KIR3DL2,KIR3DL2,1031
1586,ENSG00000284053,KIR3DL2,KIR3DL2,1031
1587,ENSG00000284046,KIR3DL2,KIR3DL2,1031
1588,ENSG00000284101,KIR3DL2,KIR3DL2,1031
1589,ENSG00000284466,KIR3DL2,KIR3DL2,1031
1590,ENSG00000284213,KIR3DL2,KIR3DL2,1031
1591,ENSG00000283975,KIR3DL2,KIR3DL2,1031
1592,ENSG00000284295,KIR3DL2,KIR3DL2,1031
1593,ENSG00000284384,KIR3DL2,KIR3DL2,1031
1594,ENSG00000240403,KIR3DL2,KIR3DL2,1031
1595,ENSG00000273911,KIR3DL2,KIR3DL2,1031
1596,ENSG00000276882,KIR3DL2,KIR3DL2,1031
1597,ENSG00000275566,KIR3DL2,KIR3DL2,1031
