"interaction_ID","community","CPDB","NicheNet","CellChat"
"Gran:HLA-DRB1_Ery:CD82",TRUE,TRUE,TRUE,TRUE
"Gran:CD14_Ery:PLXND1",TRUE,TRUE,FALSE,TRUE
"Gran:ARRB2_Ery:ENG",TRUE,TRUE,TRUE,TRUE
"Gran:HLA-DRA_Ery:CD82",TRUE,TRUE,FALSE,TRUE
"Gran:SMAP1_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Gran:RGS19_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Gran:CD14_Ery:ITGA4",TRUE,TRUE,FALSE,TRUE
"Gran:CD14_Ery:ITGB1",TRUE,TRUE,FALSE,TRUE
"Gran:TYK2_DC:IFNAR1",TRUE,FALSE,FALSE,FALSE
"Gran:TYK2_DC:IFNAR2",TRUE,FALSE,FALSE,FALSE
"Gran:SERPINA1_DC:LRP1",TRUE,TRUE,FALSE,FALSE
"Gran:HGF_DC:CD44",TRUE,TRUE,TRUE,TRUE
"Gran:HGF_DC:ITGB1",TRUE,FALSE,TRUE,FALSE
"Gran:BST2_DC:LILRA4",TRUE,TRUE,FALSE,TRUE
"Gran:F13A1_DC:ITGA4",TRUE,FALSE,TRUE,FALSE
"Gran:F13A1_DC:ITGB1",TRUE,FALSE,TRUE,FALSE
"Gran:TNFSF13_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"Gran:HLA-C_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"Gran:PSAP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:B2M_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Gran:HLA-A_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Gran:HLA-B_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Gran:RETN_DC:CAP1",TRUE,TRUE,TRUE,TRUE
"Gran:HLA-DQA1_DC:CD4",TRUE,FALSE,FALSE,FALSE
"Gran:CLEC11A_DC:ITGB1",TRUE,TRUE,FALSE,TRUE
"Gran:HLA-F_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"Gran:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"Gran:MIF_DC:TNFRSF14",TRUE,FALSE,FALSE,FALSE
"Gran:LGALS9_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"Gran:CALR_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"Gran:SORL1_DC:APP",TRUE,TRUE,FALSE,TRUE
"Gran:PLXND1_DC:SEMA4A",TRUE,FALSE,FALSE,FALSE
"Gran:APP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:APP_DC:LRP10",TRUE,FALSE,FALSE,FALSE
"Gran:CD14_DC:ITGB2",TRUE,TRUE,TRUE,TRUE
"Gran:CALM2_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Gran:CALM1_DC:KCNQ1",TRUE,TRUE,FALSE,TRUE
"Gran:CALM3_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Gran:HSP90B1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:LRPAP1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:HSP90AA1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:PSEN1_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Gran:APP_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Gran:LDLR_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:IL10RB_DC:IFNAR1",TRUE,FALSE,FALSE,FALSE
"Gran:LILRB2_DC:IFNGR1",TRUE,FALSE,FALSE,FALSE
"Gran:FCGRT_DC:LILRB2",TRUE,FALSE,FALSE,TRUE
"Gran:LILRB2_DC:CD33",TRUE,FALSE,FALSE,FALSE
"Gran:NCSTN_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Gran:FCN1_DC:LRP1",TRUE,TRUE,FALSE,TRUE
"Gran:APP_DC:TNFRSF21",TRUE,FALSE,FALSE,FALSE
"Gran:CD14_DC:ITGA4",TRUE,TRUE,TRUE,TRUE
"Gran:CD14_DC:ITGB1",TRUE,TRUE,TRUE,TRUE
"T:ANXA1_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"T:ARF6_Gran:SMAP1",TRUE,FALSE,FALSE,FALSE
"T:B2M_Gran:LILRB2",TRUE,FALSE,FALSE,FALSE
"T:HLA-F_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"T:GNAI2_Gran:FPR1",TRUE,FALSE,TRUE,FALSE
"T:LRPAP1_Gran:LDLR",TRUE,FALSE,TRUE,FALSE
"T:LRPAP1_Gran:SORT1",TRUE,FALSE,TRUE,FALSE
"T:LRPAP1_Gran:SORL1",TRUE,FALSE,TRUE,FALSE
"T:B2M_B:TFRC",TRUE,FALSE,TRUE,FALSE
"T:CALR_HSPC:ITGA2B",TRUE,TRUE,FALSE,FALSE
"T:LRPAP1_HSPC:CD320",TRUE,FALSE,TRUE,FALSE
"T:BST2_DC:LILRA4",TRUE,TRUE,FALSE,TRUE
"T:PSAP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"T:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"T:MIF_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"T:CALR_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"T:SORL1_DC:APP",TRUE,TRUE,FALSE,TRUE
"T:HSP90B1_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"T:LRPAP1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"T:HSP90AA1_DC:LRP1",TRUE,FALSE,TRUE,FALSE
"NK:HMGB1_Mono:CD163",TRUE,FALSE,TRUE,TRUE
"NK:ANXA1_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"NK:ARF6_Gran:SMAP1",TRUE,TRUE,FALSE,TRUE
"NK:HLA-C_Gran:LILRB2",TRUE,FALSE,TRUE,FALSE
"NK:ACTR2_Gran:LDLR",TRUE,FALSE,TRUE,FALSE
"NK:HSPA8_Gran:LDLR",TRUE,FALSE,FALSE,FALSE
