"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"5719","T:PIK3R1_NK:CBL","T","PIK3R1","NK","CBL",NA,NA,NA,NA
"5720","T:PIK3R1_NK:EPN1","T","PIK3R1","NK","EPN1",NA,NA,NA,NA
"5721","T:SRGN_NK:CD44","T","SRGN","NK","CD44",0.456919142906548,0,0.261949285192484,8.29308871850973e-24
"5722","Gran:ADAM17_NK:ITGB1","Gran","ADAM17","NK","ITGB1",0.278911916006783,3.08197942217715e-31,NA,NA
"5723","Gran:ADAM17_NK:RHBDF2","Gran","ADAM17","NK","RHBDF2",0.278911916006783,3.08197942217715e-31,NA,NA
"5724","Gran:APP_NK:PTGER2","Gran","APP","NK","PTGER2",NA,NA,NA,NA
"5725","Gran:CLEC2D_NK:KLRB1","Gran","CLEC2D","NK","KLRB1",NA,NA,NA,NA
"5726","Gran:ITGB2_NK:CD226","Gran","ITGB2","NK","CD226",NA,NA,NA,NA
"5727","Gran:LGALS9_NK:HAVCR2","Gran","LGALS9","NK","HAVCR2",0.334237428757051,2.64278832887731e-44,NA,NA
"5728","Gran:LMAN1_NK:MCFD2","Gran","LMAN1","NK","MCFD2",NA,NA,NA,NA
"5729","Gran:LRPAP1_NK:LRP8","Gran","LRPAP1","NK","LRP8",NA,NA,NA,NA
"5730","Gran:PTAFR_NK:MBP","Gran","PTAFR","NK","MBP",NA,NA,NA,NA
"5731","Gran:PTAFR_NK:PRNP","Gran","PTAFR","NK","PRNP",NA,NA,NA,NA
"5732","Gran:RPS27A_NK:TGFBR2","Gran","RPS27A","NK","TGFBR2",NA,NA,NA,NA
"5733","Gran:S100A9_NK:ITGB2","Gran","S100A9","NK","ITGB2",-0.546733366120384,7.0809279121649e-46,0.351136632092222,1.82603228085644e-30
"5734","Gran:SELPLG_NK:ITGB2","Gran","SELPLG","NK","ITGB2",NA,NA,0.351136632092222,1.82603228085644e-30
"5735","Gran:SELPLG_NK:SELL","Gran","SELPLG","NK","SELL",NA,NA,-0.352767323203328,7.44971352474872e-17
