"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"2866","Ery:FCGRT_Mono:LILRB2",0,0.237,0.407,0.441,0.312,0.341,0,0.645,0.579,0.523,0.778,1.05,0.793
"2867","HSPC:FCGRT_DC:LILRB2",0.561,0.126,0,0,0,0,0,0.183,0.209,0.284,0.274,0.259,0.392
"2868","HSPC:FCGRT_Gran:LILRB2",0.445,0.16,0,0,0,0,0,0.234,0.231,0.307,0.308,0.296,0.379
"2869","HSPC:FCGRT_Mono:LILRB2",0.788,0.24,0,0,0,0,0.264,0.332,0.34,0.453,0.525,0.665,0.633
"2870","Mono:FCGRT_DC:LILRB2",0.635,0.739,0,0.561,0,0,0,0.853,0.877,0.814,0.854,0.729,0.634
"2871","Mono:FCGRT_Gran:LILRB2",0.519,0.773,0,0.498,0,0,0,0.903,0.9,0.837,0.889,0.767,0.621
"2872","Mono:FCGRT_Mono:LILRB2",0.862,0.854,0.586,0.859,0.727,0.766,0.97,1.001,1.008,0.983,1.105,1.135,0.875
"2873","DC:GZMB_DC:IGF2R",0,0,0.39,0,0,0,0.411,0.366,0,0,0.579,0.408,0.848
"2874","DC:GZMB_Ery:IGF2R",0,0,0,0,0,0,0,0,0.218,0,0.534,0,0.702
"2875","DC:GZMB_Gran:IGF2R",0,0,0,0,0,0,0,0,0.252,0,0.563,0,0
"2876","DC:GZMB_Mono:IGF2R",0,0,0.296,0,0,0,0.302,0.39,0.281,0,0.67,0.406,0.844
"2877","DC:GZMB_NK:IGF2R",0,0,0.43,0,0,0,0.449,0.37,0.421,0,0.76,0.523,0.839
"2878","DC:GZMB_T:IGF2R",0,0,0,0,0,0,0.29,0,0,0,0.588,0.423,0
"2957","Ery:MIF_B:TNFRSF14",0.321,0.487,0.601,0.419,0.575,0.388,0,1.071,1.189,1.374,0.901,1.071,1.094
"2958","Ery:MIF_DC:TNFRSF14",0.282,0,0,0,0,0,0,1.001,1.142,1.293,0.857,0.971,1.104
"2959","Ery:MIF_Ery:TNFRSF14",0,0,0,0,0,0.238,0,0.946,1.071,1.186,0.765,0.938,1.034
"2960","Ery:MIF_Gran:TNFRSF14",0.195,0.374,0.609,0,0.498,0,0,0.977,0,1.218,0.822,0.952,0
"2961","Ery:MIF_HSPC:TNFRSF14",0.124,0.357,0.606,0,0.422,0.29,0,0.984,1.162,1.257,0.812,0.936,1.072
"2962","Ery:MIF_Mono:TNFRSF14",0.258,0.406,0.709,0.213,0,0.332,0,1.056,1.222,1.354,0.884,1.071,1.141
"2963","Ery:MIF_NK:TNFRSF14",0.282,0,0,0.386,0.509,0.382,0,1.118,1.229,1.322,0.933,1.053,1.135
"2964","Ery:MIF_T:TNFRSF14",0.272,0,0.595,0.424,0.558,0.381,0,1.072,1.24,1.305,0.901,1.025,1.12
"2965","HSPC:MIF_B:TNFRSF14",1.721,1.186,0.791,1.066,1.029,1.272,1.027,1.2,1.258,1.299,1.147,1.391,1.219
"2966","HSPC:MIF_DC:TNFRSF14",1.682,0,0,0,0,0,0.953,1.13,1.211,1.218,1.104,1.292,1.23
"2967","HSPC:MIF_Ery:TNFRSF14",0,0,0,0,0,1.122,0,1.075,1.14,1.111,1.012,1.258,1.159
"2968","HSPC:MIF_Gran:TNFRSF14",1.595,1.074,0.799,0,0.952,0,0.949,1.106,0,1.143,1.069,1.272,0
"2969","HSPC:MIF_HSPC:TNFRSF14",1.524,1.057,0.796,0,0.876,1.174,1.013,1.113,1.231,1.182,1.059,1.257,1.197
"2970","HSPC:MIF_Mono:TNFRSF14",1.658,1.106,0.899,0.86,0,1.216,1.011,1.185,1.291,1.279,1.131,1.391,1.267
"2971","HSPC:MIF_NK:TNFRSF14",1.682,0,0,1.033,0.963,1.265,1.067,1.247,1.298,1.247,1.179,1.374,1.26
"2972","HSPC:MIF_T:TNFRSF14",1.672,0,0.785,1.071,1.012,1.265,1.03,1.201,1.309,1.23,1.147,1.346,1.246
"2973","B:UBC_B:RIPK1",0,0,0,0,0,0,1.745,0,0,0,0,0,0
"2974","B:UBC_DC:RIPK1",0,0,0,0,0,0,1.72,0,1.219,0.954,0,0,0
"2975","B:UBC_Ery:RIPK1",0,0,0.985,1.257,0,0,0,1.238,1.185,0.973,0.738,0.78,0.985
"2976","B:UBC_Gran:RIPK1",0,0,0,0,1.752,0,0,0,0,0.956,0,0,0
"2977","B:UBC_HSPC:RIPK1",0,0,0,0,0,0,1.692,1.243,0,0,0.721,0,0
"2978","B:UBC_NK:RIPK1",0,0,0,1.284,0,0,1.743,0,0,0,0,0,0
"2979","B:UBC_T:RIPK1",0,0,0,1.271,0,0,1.752,0,0,0,0,0,0
"2980","NK:UBC_B:RIPK1",0,0,0,0,0,0,1.472,0,0,0,0,0,0
"2981","NK:UBC_DC:RIPK1",0,0,0,0,0,0,1.447,0,1.233,1.061,0,0,0
"2982","NK:UBC_Ery:RIPK1",0,0,1.182,1.163,0,0,0,1.188,1.198,1.08,0.917,0.825,1.155
"2983","NK:UBC_Gran:RIPK1",0,0,0,0,1.584,0,0,0,0,1.063,0,0,0
"2984","NK:UBC_HSPC:RIPK1",0,0,0,0,0,0,1.419,1.193,0,0,0.899,0,0
"2985","NK:UBC_NK:RIPK1",0,0,0,1.19,0,0,1.47,0,0,0,0,0,0
"2986","NK:UBC_T:RIPK1",0,0,0,1.177,0,0,1.479,0,0,0,0,0,0
"2987","T:UBC_B:RIPK1",0,0,0,0,0,0,1.496,0,0,0,0,0,0
"2988","T:UBC_DC:RIPK1",0,0,0,0,0,0,1.471,0,1.126,1.037,0,0,0
"2989","T:UBC_Ery:RIPK1",0,0,0.988,1.203,0,0,0,1.044,1.091,1.056,0.734,0.897,1.097
"2990","T:UBC_Gran:RIPK1",0,0,0,0,1.723,0,0,0,0,1.04,0,0,0
"2991","T:UBC_HSPC:RIPK1",0,0,0,0,0,0,1.443,1.049,0,0,0.716,0,0
"2992","T:UBC_NK:RIPK1",0,0,0,1.23,0,0,1.494,0,0,0,0,0,0
"2993","T:UBC_T:RIPK1",0,0,0,1.217,0,0,1.503,0,0,0,0,0,0
"2994","Ery:RPS27A_DC:RIPK1",0,0,0,0,0,0,0,0,2.006,1.865,0,0,0
"2995","Ery:RPS27A_Ery:RIPK1",0,0,1.326,1.228,0,0,0,2.038,1.971,1.885,2.025,2.024,1.934
"2996","Ery:RPS27A_Gran:RIPK1",0,0,0,0,1.622,0,0,0,0,1.868,0,0,0
"2997","Ery:RPS27A_HSPC:RIPK1",0,0,0,0,0,0,0,2.042,0,0,2.008,0,0
"2998","Ery:RPS27A_NK:RIPK1",0,0,0,1.255,0,0,0,0,0,0,0,0,0
"2999","Ery:RPS27A_T:RIPK1",0,0,0,1.242,0,0,0,0,0,0,0,0,0
"3000","Mono:RPS27A_B:RIPK1",0,0,0,0,0,0,1.817,0,0,0,0,0,0
"3001","Mono:RPS27A_DC:RIPK1",0,0,0,0,0,0,1.793,0,1.887,1.713,0,0,0
"3002","Mono:RPS27A_Ery:RIPK1",0,0,0.878,1.571,0,0,0,1.857,1.853,1.732,1.785,1.762,1.422
"3003","Mono:RPS27A_Gran:RIPK1",0,0,0,0,1.774,0,0,0,0,1.715,0,0,0
"3004","Mono:RPS27A_HSPC:RIPK1",0,0,0,0,0,0,1.765,1.861,0,0,1.768,0,0
"3005","Mono:RPS27A_NK:RIPK1",0,0,0,1.598,0,0,1.815,0,0,0,0,0,0
"3006","Mono:RPS27A_T:RIPK1",0,0,0,1.586,0,0,1.824,0,0,0,0,0,0
"3007","Gran:CD14_B:RIPK1",0,0,0,0,0,0,0.235,0,0,0,0,0,0
"3008","Gran:CD14_DC:RIPK1",0,0,0,0,0,0,0.21,0,0.36,0.604,0,0,0
"3009","Gran:CD14_Ery:RIPK1",0,0,0,0,0,0,0,0.245,0.326,0.623,0.506,0.356,0.308
"3010","Gran:CD14_Gran:RIPK1",0,0,0,0,0.342,0,0,0,0,0.606,0,0,0
"3011","Gran:CD14_HSPC:RIPK1",0,0,0,0,0,0,0.182,0.25,0,0,0.488,0,0
"3012","Gran:CD14_NK:RIPK1",0,0,0,0,0,0,0.233,0,0,0,0,0,0
"3013","Gran:CD14_T:RIPK1",0,0,0,0,0,0,0.242,0,0,0,0,0,0
"3014","NK:LTA_NK:TNFRSF1B",0,0,0.552,0,0,0,0,0,0,0,0,0,0
"3015","T:LTA_NK:TNFRSF1B",0.308,0,0,0,0,0,0,0,0,0,0,0,0
"3016","Gran:TNF_NK:TNFRSF1B",0.235,0,0,0,0,0,0,0,0,0,0,0,0
"3017","HSPC:TNF_NK:TNFRSF1B",0.25,0,0,0,0,0,0,0,0,0,0,0,0
"3018","Mono:TNF_NK:TNFRSF1B",0.273,0,0.631,0,0,0,0,0,0,0,0,0,0
"3019","NK:TNF_NK:TNFRSF1B",0,0,0.562,0,0,0,0,0.31,0,0,0,0,0
"3020","T:TNF_NK:TNFRSF1B",0.353,0,0,0,0.453,0,0,0,0,0,0,0,0
"3021","Ery:MIF_DC:TNFRSF10D",0.166,0,0,0,0,0,0,0,0,0,0,0,0
"3022","Ery:MIF_Gran:TNFRSF10D",0,0,0.562,0,0,0,0,0,0,0,0,0,0
"3023","HSPC:MIF_DC:TNFRSF10D",1.566,0,0,0,0,0,0,0,0,0,0,0,0
"3024","HSPC:MIF_Gran:TNFRSF10D",0,0,0.752,0,0,0,0.879,0,0,0,0,0,0
"3160","Mono:FCGR2A_NK:TIGIT",0,0,0,0.677,0,0,0,0,0,0.438,0.361,0.419,0
"3161","Mono:FCGR2A_T:TIGIT",0.684,0,0,0.529,0,0,0,0,0,0.415,0,0.39,0
"3162","NK:ITGB2_NK:CD226",0,0,0.847,1.032,0.818,0.729,1.071,0.472,0.61,0.798,1.109,0.814,0.745
"3163","NK:ITGB2_T:CD226",0,0,0,1.017,0,0,0,0,0,0.74,0.968,0.724,0
"3164","DC:ITGAL_NK:CD226",0,0,0.448,0.521,0,0,0.146,0,0,0.23,0.359,0.35,0.329
"3165","DC:ITGAL_T:CD226",0,0,0,0.505,0,0,0,0,0,0.172,0.218,0.26,0
"3178","B:CD79B_Ery:KREMEN1",0,0.334,0.223,0.703,0.255,0.262,0,0,0.576,0,1.128,0.979,0
"3181","Gran:LGALS9_Ery:MRC2",0.504,0.309,0,0,0.414,0,0,0,0,0,0,0.244,0
"3182","Gran:LGALS9_HSPC:MRC2",0,0,0,0.445,0.442,0,0.202,0,0,0,0,0.239,0
"3183","Mono:LGALS9_Ery:MRC2",0.511,0.288,0,0,0.376,0,0,0,0,0,0,0.334,0
"3184","Mono:LGALS9_HSPC:MRC2",0,0,0,0.536,0.403,0,0.278,0,0,0,0,0.33,0
"3340","DC:ADRB2_Ery:YWHAQ",0,0,0,0.406,0,0,0,0,0,0,0.557,0,0
"3341","Gran:ADRB2_Ery:YWHAQ",0,0,0,0.453,0,0,0,0,0.691,0,0,0.574,0
"3342","HSPC:ADRB2_Ery:YWHAQ",0,0,0,0.44,0,0,0,0,0,0,0,0,0
"3343","Mono:ADRB2_Ery:YWHAQ",0,0,0,0.342,0,0,0,0,0,0,0,0,0
"3344","NK:ADRB2_Ery:YWHAQ",0,0,0,0.368,0.494,0,0,0,0,0,0.645,0,0
"3345","T:ADRB2_Ery:YWHAQ",0.148,0,0,0.333,0,0,0,0,0,0,0,0,0
