"","X","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","mean_case","mean_control","log2","sender_log2FC","receiver_log2FC"
"535",535,"Mono:HLA-DRB1_HSPC:CD81","Mono","HLA-DRB1","HSPC","CD81",0.589714285714286,0.813333333333333,-0.463830598363442,-0.510387132729279,NA
"536",536,"Mono:HLA-DRB1_Mono:CD81","Mono","HLA-DRB1","Mono","CD81",0.468285714285714,0.642166666666667,-0.455558752896539,-0.510387132729279,NA
"537",537,"Mono:HLA-DRB1_NK:CD81","Mono","HLA-DRB1","NK","CD81",0.640833333333333,0.786,-0.294580120130574,-0.510387132729279,NA
"538",538,"Mono:HLA-DRB1_T:CD81","Mono","HLA-DRB1","T","CD81",0.584,0.744666666666667,-0.350626410882142,-0.510387132729279,NA
"539",539,"NK:HLA-DRB1_B:CD81","NK","HLA-DRB1","B","CD81",0.304,0.292666666666667,0.0548128846293833,NA,-0.274832051031821
"540",540,"T:HLA-DRB1_B:CD81","T","HLA-DRB1","B","CD81",0.314714285714286,0.329166666666667,-0.0647755795873924,NA,-0.274832051031821
"541",541,"B:IFITM1_B:CD81","B","IFITM1","B","CD81",0.203428571428571,0.230333333333333,-0.179200890758309,NA,-0.274832051031821
"542",542,"DC:IFITM1_B:CD81","DC","IFITM1","B","CD81",0.1335,0.229833333333333,-0.78374830910527,NA,-0.274832051031821
"543",543,"Ery:IFITM1_B:CD81","Ery","IFITM1","B","CD81",0.0531666666666667,0.189833333333333,-1.83613941794324,NA,-0.274832051031821
"544",544,"HSPC:IFITM1_B:CD81","HSPC","IFITM1","B","CD81",0.153142857142857,0.2415,-0.657145110435605,NA,-0.274832051031821
"545",545,"Mono:IFITM1_B:CD81","Mono","IFITM1","B","CD81",0.158857142857143,0.2325,-0.54950075532949,NA,-0.274832051031821
"546",546,"NK:IFITM1_B:CD81","NK","IFITM1","B","CD81",0.389833333333333,0.486333333333333,-0.319088021565464,NA,-0.274832051031821
"547",547,"T:IFITM1_B:CD81","T","IFITM1","B","CD81",0.334428571428571,0.384333333333333,-0.200659999876207,NA,-0.274832051031821
"548",548,"B:CD99_B:CD81","B","CD99","B","CD81",0.338,0.283333333333333,0.254522905978277,NA,-0.274832051031821
"549",549,"DC:CD99_B:CD81","DC","CD99","B","CD81",0.489,0.496833333333333,-0.022927504317779,NA,-0.274832051031821
"550",550,"Ery:CD99_B:CD81","Ery","CD99","B","CD81",0.3335,0.458666666666667,-0.459759302796357,NA,-0.274832051031821
"551",551,"Gran:CD99_B:CD81","Gran","CD99","B","CD81",0.500714285714286,0.508666666666667,-0.0227329392729932,NA,-0.274832051031821
"552",552,"HSPC:CD99_B:CD81","HSPC","CD99","B","CD81",0.550857142857143,0.490333333333333,0.167915383638684,NA,-0.274832051031821
"553",553,"Mono:CD99_B:CD81","Mono","CD99","B","CD81",0.459571428571429,0.448166666666667,0.0362537594434175,NA,-0.274832051031821
"554",554,"NK:CD99_B:CD81","NK","CD99","B","CD81",0.5745,0.4985,0.204713388247917,NA,-0.274832051031821
"555",555,"T:CD99_B:CD81","T","CD99","B","CD81",0.510857142857143,0.464333333333333,0.137759057245617,NA,-0.274832051031821
"556",556,"B:CD19_B:CD81","B","CD19","B","CD81",0.242,0.276166666666667,-0.190532149225701,NA,-0.274832051031821
"557",557,"Gran:HLA-DRA_B:CD19","Gran","HLA-DRA","B","CD19",0.469571428571429,0.6255,-0.413665255143114,-0.447825012493197,NA
"558",558,"Mono:HLA-DRA_B:CD19","Mono","HLA-DRA","B","CD19",0.543857142857143,0.694333333333333,-0.352400690814833,-0.514404387512692,NA
"559",559,"Gran:HLA-DRB1_B:CD19","Gran","HLA-DRB1","B","CD19",0.389428571428571,0.5845,-0.585844289784051,-0.478194771066587,NA
"560",560,"Mono:HLA-DRB1_B:CD19","Mono","HLA-DRB1","B","CD19",0.435,0.626,-0.525147256196528,-0.510387132729279,NA
"562",562,"Mono:C1QA_Gran:CR1","Mono","C1QA","Gran","CR1",0.0702857142857143,0.0516666666666667,0.443997678728554,0.369054542560968,NA
"563",563,"Mono:C1QA_HSPC:CR1","Mono","C1QA","HSPC","CR1",0.0574285714285714,0.0291666666666667,0.977448158010152,0.369054542560968,NA
"564",564,"Mono:C1QA_Mono:CR1","Mono","C1QA","Mono","CR1",0.122571428571429,0.0781666666666667,0.648997303647721,0.369054542560968,NA
"567",567,"B:APP_Ery:RPSA","B","APP","Ery","RPSA",0.5085,0.7675,-0.593918976400042,NA,-0.284536868289289
"568",568,"DC:APP_Ery:RPSA","DC","APP","Ery","RPSA",0.36,0.935166666666667,-1.37722660041925,NA,-0.284536868289289
"569",569,"Ery:APP_Ery:RPSA","Ery","APP","Ery","RPSA",0.4075,0.608333333333333,-0.578061998815146,NA,-0.284536868289289
"570",570,"Gran:APP_Ery:RPSA","Gran","APP","Ery","RPSA",0.480333333333333,0.8395,-0.805494395483439,NA,-0.284536868289289
"571",571,"HSPC:APP_Ery:RPSA","HSPC","APP","Ery","RPSA",0.5545,0.8255,-0.574080754751548,NA,-0.284536868289289
"572",572,"Mono:APP_Ery:RPSA","Mono","APP","Ery","RPSA",0.545333333333333,0.8165,-0.582314543341102,NA,-0.284536868289289
"573",573,"B:APP_Mono:PTGER2","B","APP","Mono","PTGER2",0.147714285714286,0.114166666666667,0.371667871130598,NA,0.300360041056194
"574",574,"DC:APP_Mono:PTGER2","DC","APP","Mono","PTGER2",0.167166666666667,0.281833333333333,-0.753555053797803,NA,0.300360041056194
"575",575,"Ery:APP_Mono:PTGER2","Ery","APP","Mono","PTGER2",0.120833333333333,0.075,0.68805599368526,NA,0.300360041056194
"576",576,"Gran:APP_Mono:PTGER2","Gran","APP","Mono","PTGER2",0.199714285714286,0.186166666666667,0.101342753555673,NA,0.300360041056194
