interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
NK:VIM_Ery:CD44,1,0,1,1,1,1,0,1,1,1,1,1,1
NK:VIM_Gran:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_HSPC:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_Mono:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_NK:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:VIM_T:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
T:VIM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:VIM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
B:SRGN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
DC:SRGN_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:SRGN_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Ery:SRGN_HSPC:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Ery:SRGN_T:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
Gran:SRGN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:SRGN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:SRGN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:SRGN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:SRGN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:SRGN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:SRGN_HSPC:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:SRGN_T:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_B:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_DC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
T:SRGN_Ery:CD44,1,1,1,1,1,1,0,1,1,1,1,1,1
T:SRGN_Gran:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_Mono:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_NK:CD44,1,0,1,1,1,1,1,1,1,1,1,1,1
T:SRGN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Ery:LAMC1_T:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
HSPC:COL6A1_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:COL6A1_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
NK:COL6A2_HSPC:CD44,1,0,0,1,0,0,1,0,0,0,0,0,0
NK:COL6A2_T:CD44,1,0,0,1,0,0,1,0,0,0,0,0,0
T:COL6A2_HSPC:CD44,0,0,0,0,0,0,1,0,0,0,0,0,0
T:COL6A2_T:CD44,0,0,0,0,0,0,1,0,0,0,0,0,0
B:VCAN_HSPC:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
B:VCAN_T:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
DC:VCAN_HSPC:CD44,1,1,0,1,0,1,1,1,1,1,1,1,1
DC:VCAN_T:CD44,1,1,0,1,0,1,1,1,1,1,1,1,1
Gran:VCAN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:VCAN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:VCAN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:VCAN_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:VCAN_HSPC:CD44,1,0,0,0,0,1,0,0,0,0,0,0,0
NK:VCAN_T:CD44,1,0,0,0,0,1,0,0,0,0,0,0,0
T:VCAN_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
T:VCAN_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:HGF_HSPC:CD44,0,0,1,1,0,0,0,0,0,0,0,0,0
DC:HGF_T:CD44,0,0,1,1,0,0,0,0,0,0,0,0,0
Gran:HGF_HSPC:CD44,1,0,1,1,1,0,1,1,1,1,1,1,1
Gran:HGF_T:CD44,1,0,1,1,1,0,1,1,1,1,1,1,1
HSPC:HGF_HSPC:CD44,0,1,1,0,0,0,0,0,0,1,1,1,0
HSPC:HGF_T:CD44,0,1,1,0,0,0,0,0,0,1,1,1,0
Mono:HGF_HSPC:CD44,1,0,1,0,0,0,0,0,0,0,1,0,0
Mono:HGF_T:CD44,1,0,1,0,0,0,0,0,0,0,1,0,0
B:PKM_HSPC:CD44,1,1,0,1,1,1,1,0,0,1,1,1,0
B:PKM_T:CD44,1,1,0,1,1,1,1,0,0,1,1,1,0
DC:PKM_HSPC:CD44,1,1,1,1,0,0,1,1,1,1,1,1,1
DC:PKM_T:CD44,1,1,1,1,0,0,1,1,1,1,1,1,1
Ery:PKM_HSPC:CD44,1,1,0,0,0,0,0,0,0,1,0,0,0
Ery:PKM_T:CD44,1,1,0,0,0,0,0,0,0,1,0,0,0
Gran:PKM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:PKM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:PKM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:PKM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:PKM_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:PKM_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:PKM_HSPC:CD44,1,0,1,1,1,1,1,0,0,1,0,1,0
NK:PKM_T:CD44,1,0,1,1,1,1,1,0,0,1,0,1,0
T:PKM_HSPC:CD44,1,1,0,1,1,1,1,0,1,1,1,1,1
T:PKM_T:CD44,1,1,0,1,1,1,1,0,1,1,1,1,1
B:TIMP2_HSPC:CD44,0,1,0,0,0,0,0,1,0,0,0,0,0
B:TIMP2_T:CD44,0,1,0,0,0,0,0,1,0,0,0,0,0
DC:TIMP2_HSPC:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
DC:TIMP2_T:CD44,1,1,1,1,0,1,1,1,1,1,1,1,1
Gran:TIMP2_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Gran:TIMP2_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:TIMP2_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
HSPC:TIMP2_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:TIMP2_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:TIMP2_T:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:TGFB1_DC:ITGB8,1,0,0,0,0,0,0,0,0,0,0,0,0
T:TGFB1_DC:ITGB8,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:F13A1_Gran:ITGA4,0,0,0,0,0,0,0,0,0,1,1,0,0
Gran:F13A1_Gran:ITGA4,1,0,1,0,0,0,1,0,1,1,1,1,1
