cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
231	Gran	SP110	3.96229988911293e-71	0.29552121387515	0.524	0.171	6.24854692513109e-67
232	Gran	CLU	1.67422124712536e-70	0.279745287251223	0.382	0.082	2.64024690671669e-66
233	Gran	AC007952.4	1.89017992876144e-70	-0.334966577138168	0.464	0.71	2.9808137476568e-66
234	Gran	PARP14	2.5222559620068e-70	0.333722845325424	0.611	0.27	3.97759765208472e-66
235	Gran	PROK2	1.47778224018168e-69	0.298420801887418	0.439	0.121	2.33046259276651e-65
236	Gran	MT1G	3.13039995489572e-68	0.276149904336108	0.227	0.005	4.93664072887055e-64
237	Gran	GABPB1-AS1	5.48775261641084e-68	0.328283474073453	0.601	0.26	8.6541858760799e-64
238	Gran	PLCG2	1.06537368660833e-66	0.344233207201895	0.596	0.269	1.68009430378134e-62
239	Gran	HLA-DQB1	1.12994605526271e-66	-0.347816722143458	0.247	0.575	1.78192492914929e-62
240	Gran	PCM1	1.37808614890134e-66	0.307670575306831	0.729	0.406	2.17324185681741e-62
241	Gran	NFKBIZ	1.00970696470346e-65	0.314352961954987	0.75	0.449	1.59230788333736e-61
242	Gran	RIPK2	1.24162276035133e-64	0.298712717944724	0.57	0.256	1.95803909307405e-60
243	Gran	CD83	8.66494106452963e-64	0.289567755483762	0.507	0.185	1.36646120587632e-59
244	Gran	IFITM3	1.78447165796114e-63	0.299154421536993	0.438	0.134	2.81411180460472e-59
245	Gran	ODF3B	2.812593778123e-62	0.2751578689185	0.526	0.203	4.43546038809996e-58
246	Gran	PER1	6.01912886472264e-62	0.279042054466567	0.545	0.219	9.4921662196676e-58
247	Gran	ZBTB10	1.09767926776106e-61	0.264117824071742	0.423	0.128	1.73104020525919e-57
248	Gran	ALDH2	2.2378873952134e-61	-0.294034928712618	0.147	0.471	3.52914842225154e-57
249	Gran	ELANE	2.73665617236825e-61	-0.391021501808329	0.171	0.484	4.31570678382472e-57
250	Gran	MT2A	3.43925646336853e-61	0.382793095506703	0.604	0.37	5.42370744273218e-57
251	Gran	HLA-DPB1	7.04254565236941e-59	-0.332443578130535	0.338	0.683	1.11060944937866e-54
252	Gran	RHOB	4.21733668968025e-57	0.324538701345523	0.615	0.338	6.65073995962576e-53
253	Gran	PMAIP1	6.08841466289065e-57	0.298387488040416	0.625	0.331	9.60142992337855e-53
254	Gran	EIF2AK2	3.80111747488479e-56	0.282414920610603	0.581	0.273	5.99436225789331e-52
255	Gran	HLA-DMA	1.14080605138454e-55	-0.301066199206883	0.253	0.554	1.79905114303341e-51
256	Gran	GRINA	4.94170497316439e-55	0.254352784440123	0.517	0.209	7.79306874268024e-51
257	Gran	LMNA	2.27562148693746e-54	0.309352905718124	0.586	0.294	3.58865508490037e-50
258	Gran	ITGA4	6.054681252326e-53	0.26934471267845	0.615	0.315	9.54823233491811e-49
259	Gran	KLF2	2.06327257183724e-52	0.266115711545021	0.744	0.56	3.25378084578733e-48
260	Gran	RFLNB	5.11548384729662e-52	-0.27688511193359	0.42	0.661	8.06711802718677e-48
261	Gran	CPVL	4.54861345503848e-51	-0.285764745031004	0.226	0.524	7.17316341859568e-47
262	Gran	JMJD1C	4.59422947493249e-51	0.28158818466181	0.773	0.511	7.24509988196854e-47
263	Gran	FOXP1	1.25286900641697e-50	0.25941433078857	0.763	0.509	1.97577442311956e-46
264	Gran	CD48	2.73037729288788e-50	-0.282370804398541	0.251	0.552	4.30580499088419e-46
265	Gran	S100A9	4.4901254991534e-50	-0.390436315698909	0.637	0.971	7.0809279121649e-46
266	Gran	S100A12	1.10603049297765e-49	-0.325840182192191	0.355	0.657	1.74421008742575e-45
267	Gran	SCO2	1.68122171624484e-48	0.269391996710485	0.561	0.285	2.65128664651812e-44
268	Gran	CLEC2B	1.09825962543406e-46	0.255118018195057	0.649	0.366	1.73195542930951e-42
269	Gran	PPP1R15B	3.63610566040492e-46	0.25445286686736	0.515	0.241	5.73413862645856e-42
270	Gran	MIR181A1HG	2.91784110703001e-45	0.283642477969981	0.409	0.166	4.60143542578632e-41
271	Gran	TMPO	6.40056422423574e-45	-0.268738691854004	0.365	0.597	1.00936897816198e-40
