id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1193,ENSG00000109255,NMU,NMU,711
1194,ENSG00000171596,NMUR1,NMUR1,1171
1195,ENSG00000132911,NMUR2,NMUR2,1144
1196,ENSG00000156574,NODAL,NODAL,1105
1197,ENSG00000148400,NOTCH1,NOTCH1,692
1198,ENSG00000134250,NOTCH2,NOTCH2,830
1199,ENSG00000074181,NOTCH3,NOTCH3,1254
1200,ENSG00000235396,NOTCH4,NOTCH4,1110
1201,ENSG00000204301,NOTCH4,NOTCH4,1110
1202,ENSG00000238196,NOTCH4,NOTCH4,1110
1203,ENSG00000232339,NOTCH4,NOTCH4,1110
1204,ENSG00000206312,NOTCH4,NOTCH4,1110
1205,ENSG00000234876,NOTCH4,NOTCH4,1110
1206,ENSG00000223355,NOTCH4,NOTCH4,1110
1207,ENSG00000136999,NOV,NOV,712
1208,ENSG00000183979,NPB,NPB,1034
1209,ENSG00000183729,NPBWR1,NPBWR1,705
1210,ENSG00000125522,NPBWR2,NPBWR2,706
1211,ENSG00000277339,NPBWR2,NPBWR2,706
1212,ENSG00000148734,NPFFR1,NPFFR1,1145
1213,ENSG00000175206,NPPA,NPPA,158
1214,ENSG00000120937,NPPB,NPPB,417
1215,ENSG00000163273,NPPC,NPPC,500
1216,ENSG00000169418,NPR1,NPR1,402
1217,ENSG00000159899,NPR2,NPR2,457
1218,ENSG00000113389,NPR3,NPR3,421
1219,ENSG00000214285,NPS,NPS,317
1220,ENSG00000187258,NPSR1,NPSR1,982
1221,ENSG00000105954,NPVF,NPVF,1181
1222,ENSG00000183971,NPW,NPW,1021
1223,ENSG00000164128,NPY1R,NPY1R,518
1224,ENSG00000185149,NPY2R,NPY2R,714
1225,ENSG00000204174,NPY4R,NPY4R,730
1226,ENSG00000164129,NPY5R,NPY5R,921
1227,ENSG00000131408,NR1H2,NR1H2,762
1228,ENSG00000025434,NR1H3,NR1H3,857
1229,ENSG00000012504,NR1H4,NR1H4,1102
1230,ENSG00000144852,NR1I2,NR1I2,104
1231,ENSG00000113580,NR3C1,NR3C1,229
1232,ENSG00000151623,NR3C2,NR3C2,284
1233,ENSG00000157168,NRG1,NRG1,818
1234,ENSG00000158458,NRG2,NRG2,39
1235,ENSG00000185737,NRG3,NRG3,778
1236,ENSG00000169752,NRG4,NRG4,1049
1237,ENSG00000099250,NRP1,NRP1,44
1238,ENSG00000118257,NRP2,NRP2,86
1239,ENSG00000171119,NRTN,NRTN,1119
1240,ENSG00000165802,NSMF,NSMF,984
1241,ENSG00000185652,NTF3,NTF3,462
1242,ENSG00000225950,NTF4,NTF4,605
1243,ENSG00000065320,NTN1,NTN1,128
1244,ENSG00000074527,NTN4,NTN4,1170
1245,ENSG00000198400,NTRK1,NTRK1,236
1246,ENSG00000148053,NTRK2,NTRK2,932
1247,ENSG00000140538,NTRK3,NTRK3,927
1248,ENSG00000133636,NTS,NTS,580
1249,ENSG00000101188,NTSR1,NTSR1,579
1250,ENSG00000171773,NXNL1,NXNL1,1081
1251,ENSG00000106809,OGN,OGN,461
1252,ENSG00000127083,OMD,OMD,1123
1253,ENSG00000116329,OPRD1,OPRD1,655
1254,ENSG00000082556,OPRK1,OPRK1,656
1255,ENSG00000125510,OPRL1,OPRL1,657
1256,ENSG00000277044,OPRL1,OPRL1,657
1257,ENSG00000112038,OPRM1,OPRM1,620
1258,ENSG00000099985,OSM,OSM,374
1259,ENSG00000145623,OSMR,OSMR,1114
1260,ENSG00000188729,OSTN,OSTN,786
1261,ENSG00000162881,OXER1,OXER1,1043
1262,ENSG00000101405,OXT,OXT,159
1263,ENSG00000180914,OXTR,OXTR,571
1264,ENSG00000171631,P2RY6,P2RY6,905
1265,ENSG00000185624,P4HB,P4HB,269
1266,ENSG00000276977,PDCD1,PDCD1,907
1267,ENSG00000188389,PDCD1,PDCD1,907
1268,ENSG00000197646,PDCD1LG2,PDCD1LG2,1127
1269,ENSG00000197461,PDGFA,PDGFA,225
1270,ENSG00000100311,PDGFB,PDGFB,151
1271,ENSG00000145431,PDGFC,PDGFC,1198
1272,ENSG00000170962,PDGFD,PDGFD,1143
1273,ENSG00000134853,PDGFRA,PDGFRA,408
1274,ENSG00000113721,PDGFRB,PDGFRB,310
1275,ENSG00000101327,PDYN,PDYN,163
1276,ENSG00000261371,PECAM1,PECAM1,409
1277,ENSG00000181195,PENK,PENK,162
1278,ENSG00000163737,PF4,PF4,214
1279,ENSG00000119630,PGF,PGF,721
1280,ENSG00000082175,PGR,PGR,259
1281,ENSG00000164040,PGRMC2,PGRMC2,58
1282,ENSG00000085514,PILRA,PILRA,1246
1283,ENSG00000188257,PLA2G2A,PLA2G2A,385
1284,ENSG00000122861,PLAU,PLAU,144
1285,ENSG00000011422,PLAUR,PLAUR,827
1286,ENSG00000129219,PLD2,PLD2,52
1287,ENSG00000122194,PLG,PLG,143
1288,ENSG00000114554,PLXNA1,PLXNA1,1244
1289,ENSG00000076356,PLXNA2,PLXNA2,97
1290,ENSG00000130827,PLXNA3,PLXNA3,743
1291,ENSG00000221866,PLXNA4,PLXNA4,1180
1292,ENSG00000164050,PLXNB1,PLXNB1,69
1293,ENSG00000196576,PLXNB2,PLXNB2,54
1294,ENSG00000198753,PLXNB3,PLXNB3,1250
1295,ENSG00000136040,PLXNC1,PLXNC1,88
1296,ENSG00000004399,PLXND1,PLXND1,1269
1297,ENSG00000183395,PMCH,PMCH,455
1298,ENSG00000141744,PNMT,PNMT,342
1299,ENSG00000168081,PNOC,PNOC,871
1300,ENSG00000128567,PODXL,PODXL,36
1301,ENSG00000114631,PODXL2,PODXL2,1209
1302,ENSG00000115138,POMC,POMC,161
1303,ENSG00000186951,PPARA,PPARA,842
1304,ENSG00000112033,PPARD,PPARD,826
1305,ENSG00000132170,PPARG,PPARG,640
1306,ENSG00000163736,PPBP,PPBP,213
1307,ENSG00000196262,PPIA,PPIA,789
1308,ENSG00000108849,PPY,PPY,177
1309,ENSG00000172179,PRL,PRL,168
1310,ENSG00000071677,PRLH,PRLH,802
1311,ENSG00000119973,PRLHR,PRLHR,719
1312,ENSG00000113494,PRLR,PRLR,412
1313,ENSG00000115718,PROC,PROC,223
1314,ENSG00000101000,PROCR,PROCR,1259
1315,ENSG00000143125,PROK1,PROK1,781
1316,ENSG00000163421,PROK2,PROK2,1176
1317,ENSG00000169618,PROKR1,PROKR1,1039
1318,ENSG00000101292,PROKR2,PROKR2,1029
1319,ENSG00000184500,PROS1,PROS1,268
1320,ENSG00000197746,PSAP,PSAP,275
1321,ENSG00000125650,PSPN,PSPN,90
1322,ENSG00000185920,PTCH1,PTCH1,874
1323,ENSG00000117425,PTCH2,PTCH2,1277
1324,ENSG00000168229,PTGDR,PTGDR,860
1325,ENSG00000183134,PTGDR2,PTGDR2,1275
1326,ENSG00000160951,PTGER1,PTGER1,611
1327,ENSG00000125384,PTGER2,PTGER2,676
1328,ENSG00000050628,PTGER3,PTGER3,675
1329,ENSG00000171522,PTGER4,PTGER4,622
1330,ENSG00000148344,PTGES,PTGES,41
1331,ENSG00000148334,PTGES2,PTGES2,1166
1332,ENSG00000110958,PTGES3,PTGES3,908
1333,ENSG00000122420,PTGFR,PTGFR,674
1334,ENSG00000160013,PTGIR,PTGIR,677
1335,ENSG00000124212,PTGIS,PTGIS,934
1336,ENSG00000106853,PTGR1,PTGR1,901
1337,ENSG00000152266,PTH,PTH,173
1338,ENSG00000160801,PTH1R,PTH1R,828
1339,ENSG00000142538,PTH2,PTH2,1079
1340,ENSG00000144407,PTH2R,PTH2R,715
1341,ENSG00000087494,PTHLH,PTHLH,357
1342,ENSG00000105894,PTN,PTN,468
1343,ENSG00000081237,PTPRC,PTPRC,289
1344,ENSG00000262418,PTPRC,PTPRC,289
1345,ENSG00000273993,PTPRK,PTPRK,911
1346,ENSG00000152894,PTPRK,PTPRK,911
1347,ENSG00000153233,PTPRR,PTPRR,910
1348,ENSG00000105426,PTPRS,PTPRS,866
1349,ENSG00000060656,PTPRU,PTPRU,1060
1350,ENSG00000106278,PTPRZ1,PTPRZ1,497
1351,ENSG00000073008,PVR,PVR,392
