Gene;OverallAverageExpression;case_avg;control_avg
ARHGEF19;0,015791288274312348;1,83067580914696e-02;1,36800213973308e-02
AL109627.1;0,003719390049607918;4,65076830639602e-03;2,93767203809159e-03
CPLANE2;0,003214483452489742;3,15189514530270e-03;3,26701464127565e-03
FBXO42;0,078681642957307979;8,95905340795556e-02;6,95256672688270e-02
SZRD1;0,236538789069583755;3,14032329346623e-01;1,71497442259927e-01
SPATA21;0,002661865073243081;2,83379057727728e-03;2,51756573818449e-03
NECAP2;0,211903491746259026;2,44664170591767e-01;1,84407023435574e-01
LINC01772;0,010815347744108535;1,01640584317836e-02;1,13619834234814e-02
AL137802.2;0,004013251507378090;4,74159435619726e-03;3,40194378215319e-03
NBPF1;0,012686658758494011;1,02724942040704e-02;1,47128987970637e-02
CROCC;0,021207999150772580;2,34098629865591e-02;1,93599458955071e-02
BX284668.5;0,059046570247965099;4,89135011033219e-02;6,75513883544395e-02
BX284668.6;0,009175540947775528;7,23057331056477e-03;1,08079778473304e-02
ATP13A2;0,034404123439889849;3,56275164921217e-02;3,33773135727671e-02
SDHB;0,233838407089850875;2,55889286186310e-01;2,15330814461571e-01
PADI2;0,022814772828286756;1,03243942578562e-02;3,32981117166505e-02
PADI4;0,095869223061278389;4,86492200716533e-02;1,35501592157096e-01
RCC2;0,203038380043450567;2,25575350080847e-01;1,84122804900015e-01
ARHGEF10L;0,027019501039875080;2,26616166669592e-02;3,06771306673498e-02
ALDH4A1;0,014652871716608461;2,02707983274861e-02;9,93767207876772e-03
IFFO2;0,046802358437594310;6,63049456662894e-02;3,04335806647330e-02
UBR4;0,133448100083804089;1,52323275942115e-01;1,17605916919830e-01
EMC1-AS1;0,005995677066693734;4,54411414061692e-03;7,21399290764616e-03
EMC1;0,054434238222742230;5,87246347930652e-02;5,08332519949389e-02
MRTO4;0,102349827977947297;8,60556648288611e-02;1,16025733254233e-01
AKR7A2;0,163009303591154148;1,19530359221369e-01;1,99501753020656e-01
SLC66A1;0,016723865832939385;1,81007743106017e-02;1,55682084516838e-02
CAPZB;0,687589821154148129;6,46194431547459e-01;7,22333515687966e-01
MICOS10;0,547805967869851917;4,86496845854945e-01;5,99263519729159e-01
NBL1;0,023592209962048836;4,00017173883835e-02;9,81949471796165e-03
TMCO4;0,035089140849991998;3,79297016209072e-02;3,27050208630291e-02
OTUD3;0,034403493501068562;3,87306703959064e-02;3,07716370635163e-02
UBXN10-AS1;0,006621146302468431;7,18664389937912e-03;6,14651673735624e-03
UBXN10;0,006928543830216546;8,90959169534946e-03;5,26582432118392e-03
CAMK2N1;0,025921370887090411;3,52279685194505e-02;1,81102211827374e-02
MUL1;0,043299707425760156;5,30916171200159e-02;3,50812289296677e-02
CDA;0,265527831481581378;2,44914835723330e-01;2,82828589726790e-01
PINK1;0,048040492492587350;4,91358977030938e-02;4,71211045030988e-02
PINK1-AS;0,004207306106828479;4,35511944329248e-03;4,08324443090456e-03
DDOST;0,280956617258663666;2,77435881154669e-01;2,83911617341852e-01
KIF17;0,006339935202343864;9,25656200173706e-03;3,89197199798529e-03
HP1BP3;0,661895945788267603;7,01550695685309e-01;6,28613193039031e-01
EIF4G3;0,206726790081018630;2,47271953170000e-01;1,72696701837575e-01
ECE1;0,086683954852327202;8,39871215450496e-02;8,89474424901277e-02
NBPF3;0,006290218993826372;6,71887459770237e-03;5,93044271190753e-03
RAP1GAP;0,002149284830738262;4,42149191070829e-03;2,42191566146821e-04
USP48;0,257301397412591337;2,65910430915315e-01;2,50075722449946e-01
LDLRAD2;0,011248265233045401;2,08930169359894e-02;3,15329837307771e-03
HSPG2;0,008116824202999447;1,27358610886235e-02;4,24000583942442e-03
LINC01635;0,003385466875607148;3,33869568300062e-03;3,42472255224997e-03
LINC00339;0,042140179181369787;4,55663206098225e-02;3,92645736525700e-02
CDC42;1,641188952866377893;1,68363673230324e+00;1,60556197371712e+00
CDC42-AS1;0,003170408206457234;2,60760997405602e-03;3,64277215946035e-03
CDC42-IT1;0,031913416738670188;4,02830487793190e-02;2,48886745694658e-02
ZBTB40;0,050973982930394700;4,79935067399263e-02;5,34755357678202e-02
C1QA;0,129366293557440393;2,47426143919623e-01;3,02771095525382e-02
C1QC;0,024328134319958682;5,08215674805626e-02;2,09184767958885e-03
C1QB;0,050015083193962195;1,00082759367916e-01;7,99262456912930e-03
EPHB2;0,016617622234209636;2,97887483523718e-02;5,56292298234264e-03
KDM1A;0,129517550374046747;1,50507277922270e-01;1,11900596186335e-01
LUZP1;0,156860954799994595;1,96861136042110e-01;1,23288276983023e-01
LINC01355;0,005977355835236220;2,02267536986369e-03;9,29657112402177e-03
HNRNPR;0,584039721091170416;5,99791824656189e-01;5,70818773547785e-01
ZNF436;0,003423896551374623;3,41171641359741e-03;3,43411950108791e-03
ZNF436-AS1;0,007693216483936075;1,00212918302756e-02;5,73923224913472e-03
TCEA3;0,014497139305348799;1,56682926675141e-02;1,35141748966566e-02
E2F2;0,022245907160495265;3,15079526364311e-02;1,44721506665537e-02
ID3;0,040672280929490628;3,44093064245563e-02;4,59288777423241e-02
MDS2;0,004670090351798220;1,47136896271592e-03;7,35481925269747e-03
RPL11;3,614052644525552527;3,39450660124586e+00;3,79832052402355e+00
ELOA-AS1;0,011172391766086481;9,07164736105018e-03;1,29355741541661e-02
ELOA;0,126749636423914153;1,27569076202268e-01;1,26061869848493e-01
PITHD1;0,232284598752453886;2,51063816888306e-01;2,16522954166059e-01
LYPLA2;0,113393801013917467;1,23357847792402e-01;1,05030845600728e-01
GALE;0,029433304699594039;3,32791763147417e-02;2,62054141088173e-02
HMGCL;0,044871855870148539;4,02080456142267e-02;4,87862531118464e-02
FUCA1;0,050394544926773352;3,51517377857632e-02;6,31880332880852e-02
CNR2;0,018007195717786955;9,21426565321937e-03;2,53872174816403e-02
PNRC2;0,464072517727474154;5,06846586673038e-01;4,28171679505312e-01
SRSF10;0,681615222246600205;7,86566354911288e-01;5,93528357285899e-01
IFNLR1;0,005046767535713408;4,45424373207012e-03;5,54408055132690e-03
STPG1;0,009489464953414999;8,43015603858017e-03;1,03785568475525e-02
NIPAL3;0,051412137246271299;4,47312638027891e-02;5,70194821304448e-02
RCAN3AS;0,003098981476167831;2,68921152760367e-03;3,44290677937963e-03
RCAN3;0,147555447998621192;1,32026083332697e-01;1,60589447856662e-01
NCMAP-DT;0,017568518323017136;1,14366244688588e-02;2,27150974229332e-02
SRRM1;1,163987682281768743;1,27033293417892e+00;1,07473071472712e+00
CLIC4;0,068227788152577754;9,17490699764049e-02;4,84860671905211e-02
RUNX3;0,360160813432163274;4,49477613174416e-01;2,85196049566733e-01
AL031432.1;0,001405022070482831;1,14122923215052e-03;1,62642686657987e-03
SYF2;0,776380084581554497;8,57191869891923e-01;7,08553691105549e-01
AL031432.4;0,007265044366840866;9,70040452952980e-03;5,22101457569188e-03
RSRP1;0,651448761823157807;6,09341333427552e-01;6,86790079870448e-01
AL031432.3;0,003696337570996288;4,50858151163745e-03;3,01461055673911e-03
RHD;0,011896740943930971;2,10927520422854e-02;4,17840797094718e-03
TMEM50A;0,597641421970932063;6,29711290819218e-01;5,70724759569852e-01
RHCE;0,019901960039482899;3,16966151637419e-02;1,00025509830029e-02
MACO1;0,122268071006950474;1,54569390174333e-01;9,51571493112277e-02
LDLRAP1;0,049149542698917817;3,54970395668331e-02;6,06082680050443e-02
