"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"6744","HSPC:ADRB2_NK:YWHAQ","HSPC","ADRB2","NK","YWHAQ",NA,NA,NA,NA
"6745","HSPC:ARPC5_NK:ADRB2","HSPC","ARPC5","NK","ADRB2",NA,NA,NA,NA
"6746","HSPC:CASP8_NK:FAS","HSPC","CASP8","NK","FAS",NA,NA,NA,NA
"6747","HSPC:LRPAP1_NK:CD320","HSPC","LRPAP1","NK","CD320",NA,NA,NA,NA
"6748","HSPC:NUCB2_NK:ERAP1","HSPC","NUCB2","NK","ERAP1",NA,NA,NA,NA
"6749","HSPC:RPS27A_NK:ADRB2","HSPC","RPS27A","NK","ADRB2",NA,NA,NA,NA
"6750","HSPC:RPS27A_NK:RIPK1","HSPC","RPS27A","NK","RIPK1",NA,NA,NA,NA
"6751","HSPC:RPS27A_NK:SMAD3","HSPC","RPS27A","NK","SMAD3",NA,NA,NA,NA
"6752","HSPC:RPS27A_NK:TGFBR1","HSPC","RPS27A","NK","TGFBR1",NA,NA,NA,NA
"6753","HSPC:TGOLN2_NK:BTN3A1","HSPC","TGOLN2","NK","BTN3A1",NA,NA,NA,NA
"6754","HSPC:TNFSF13_NK:FAS","HSPC","TNFSF13","NK","FAS",NA,NA,NA,NA
"6755","HSPC:TNFSF13_NK:TNFRSF14","HSPC","TNFSF13","NK","TNFRSF14",NA,NA,NA,NA
"6756","HSPC:UBA52_NK:ADRB2","HSPC","UBA52","NK","ADRB2",NA,NA,NA,NA
"6757","HSPC:UBA52_NK:NOTCH1","HSPC","UBA52","NK","NOTCH1",NA,NA,NA,NA
"6758","HSPC:UBA52_NK:RIPK1","HSPC","UBA52","NK","RIPK1",NA,NA,NA,NA
"6759","HSPC:UBA52_NK:SMAD3","HSPC","UBA52","NK","SMAD3",NA,NA,NA,NA
"6760","HSPC:UBA52_NK:TGFBR1","HSPC","UBA52","NK","TGFBR1",NA,NA,NA,NA
"6761","HSPC:UBB_NK:ADRB2","HSPC","UBB","NK","ADRB2",NA,NA,NA,NA
"6762","HSPC:UBB_NK:RIPK1","HSPC","UBB","NK","RIPK1",NA,NA,NA,NA
"6763","HSPC:UBB_NK:SMAD3","HSPC","UBB","NK","SMAD3",NA,NA,NA,NA
"6764","HSPC:UBB_NK:TGFBR1","HSPC","UBB","NK","TGFBR1",NA,NA,NA,NA
"6765","HSPC:UBC_NK:ADRB2","HSPC","UBC","NK","ADRB2",NA,NA,NA,NA
"6766","HSPC:UBC_NK:RIPK1","HSPC","UBC","NK","RIPK1",NA,NA,NA,NA
"6767","HSPC:UBC_NK:SMAD3","HSPC","UBC","NK","SMAD3",NA,NA,NA,NA
"6768","HSPC:UBC_NK:TGFBR1","HSPC","UBC","NK","TGFBR1",NA,NA,NA,NA
"6769","HSPC:YBX1_NK:NOTCH1","HSPC","YBX1","NK","NOTCH1",NA,NA,NA,NA
"6770","Mono:ACTR2_NK:ADRB2","Mono","ACTR2","NK","ADRB2",NA,NA,NA,NA
"6771","Mono:ARPC5_NK:ADRB2","Mono","ARPC5","NK","ADRB2",NA,NA,NA,NA
"6772","Mono:CASP8_NK:FAS","Mono","CASP8","NK","FAS",NA,NA,NA,NA
"6773","Mono:CD48_NK:CD244","Mono","CD48","NK","CD244",-0.405816577096736,0,NA,NA
"6774","Mono:CD79B_NK:CD244","Mono","CD79B","NK","CD244",NA,NA,NA,NA
"6775","Mono:LILRB4_NK:LAIR1","Mono","LILRB4","NK","LAIR1",0.333429879547968,0,NA,NA
"6776","Mono:NUCB2_NK:ERAP1","Mono","NUCB2","NK","ERAP1",NA,NA,NA,NA
"6777","Mono:RPS27A_NK:ADRB2","Mono","RPS27A","NK","ADRB2",NA,NA,NA,NA
"6778","Mono:RPS27A_NK:RIPK1","Mono","RPS27A","NK","RIPK1",NA,NA,NA,NA
"6779","Mono:RPS27A_NK:SMAD3","Mono","RPS27A","NK","SMAD3",NA,NA,NA,NA
"6780","Mono:RPS27A_NK:TGFBR1","Mono","RPS27A","NK","TGFBR1",NA,NA,NA,NA
"6781","Mono:SIRPA_NK:TIGIT","Mono","SIRPA","NK","TIGIT",NA,NA,NA,NA
"6782","Mono:TGFBR1_NK:BMPR2","Mono","TGFBR1","NK","BMPR2",NA,NA,NA,NA
"6783","Mono:TGOLN2_NK:BTN3A1","Mono","TGOLN2","NK","BTN3A1",NA,NA,NA,NA
"6784","Mono:TNFSF10_NK:RIPK1","Mono","TNFSF10","NK","RIPK1",NA,NA,NA,NA
"6785","Mono:UBA52_NK:ADRB2","Mono","UBA52","NK","ADRB2",NA,NA,NA,NA
"6786","Mono:UBA52_NK:NOTCH1","Mono","UBA52","NK","NOTCH1",NA,NA,NA,NA
"6787","Mono:UBA52_NK:RIPK1","Mono","UBA52","NK","RIPK1",NA,NA,NA,NA
"6788","Mono:UBA52_NK:SMAD3","Mono","UBA52","NK","SMAD3",NA,NA,NA,NA
"6789","Mono:UBA52_NK:TGFBR1","Mono","UBA52","NK","TGFBR1",NA,NA,NA,NA
"6790","Mono:UBB_NK:ADRB2","Mono","UBB","NK","ADRB2",NA,NA,NA,NA
"6791","Mono:UBB_NK:RIPK1","Mono","UBB","NK","RIPK1",NA,NA,NA,NA
"6792","Mono:UBB_NK:SMAD3","Mono","UBB","NK","SMAD3",NA,NA,NA,NA
"6793","Mono:UBB_NK:TGFBR1","Mono","UBB","NK","TGFBR1",NA,NA,NA,NA
"6794","Mono:UBC_NK:ADRB2","Mono","UBC","NK","ADRB2",NA,NA,NA,NA
"6795","Mono:UBC_NK:RIPK1","Mono","UBC","NK","RIPK1",NA,NA,NA,NA
"6796","Mono:UBC_NK:SMAD3","Mono","UBC","NK","SMAD3",NA,NA,NA,NA
"6797","Mono:UBC_NK:TGFBR1","Mono","UBC","NK","TGFBR1",NA,NA,NA,NA
"6798","Mono:YBX1_NK:NOTCH1","Mono","YBX1","NK","NOTCH1",NA,NA,NA,NA
"6799","T:ACTR2_NK:ADRB2","T","ACTR2","NK","ADRB2",NA,NA,NA,NA
"6800","T:ADRB2_NK:SLC52A2","T","ADRB2","NK","SLC52A2",NA,NA,NA,NA
"6801","T:ARPC5_NK:ADRB2","T","ARPC5","NK","ADRB2",NA,NA,NA,NA
"6802","T:CASP8_NK:FAS","T","CASP8","NK","FAS",NA,NA,NA,NA
"6803","T:CD48_NK:CD244","T","CD48","NK","CD244",NA,NA,NA,NA
"6804","T:LRPAP1_NK:CD320","T","LRPAP1","NK","CD320",NA,NA,NA,NA
"6805","T:NUCB2_NK:ERAP1","T","NUCB2","NK","ERAP1",NA,NA,NA,NA
"6806","T:RPS27A_NK:ADRB2","T","RPS27A","NK","ADRB2",NA,NA,NA,NA
"6807","T:RPS27A_NK:RIPK1","T","RPS27A","NK","RIPK1",NA,NA,NA,NA
"6808","T:RPS27A_NK:SMAD3","T","RPS27A","NK","SMAD3",NA,NA,NA,NA
"6809","T:RPS27A_NK:TGFBR1","T","RPS27A","NK","TGFBR1",NA,NA,NA,NA
"6810","T:SELPLG_NK:SELL","T","SELPLG","NK","SELL",NA,NA,NA,NA
