,ID,community,CPDB,NicheNet,CellChat
16957,RLN3_MCHR1,False,False,True,False
16958,PPY_S1PR2,False,False,True,False
16959,EDN3_PROKR1,False,False,True,False
16960,ANXA1_LPAR1,False,False,True,False
16961,GPHA2_GPR1,False,False,True,False
16962,COL3A1_CD93,True,False,False,False
16963,POMC_GPR150,False,False,True,False
16964,PLAU_VLDLR,True,False,False,False
16965,FN1_ITGA6,True,False,False,False
16966,CCL3L1_CCR1,True,True,False,True
16967,CALR_LGR4,False,False,True,False
16968,SCT_MC4R,False,False,True,False
16969,AVP_P2RY2,False,False,True,False
16970,POMC_TAS2R41,False,False,True,False
16971,XCL1_LPAR5,False,False,True,False
16972,WISP2_IGF1R,False,False,True,False
16973,PENK_NMUR1,False,False,True,False
16974,PTN_SDC3,True,False,True,True
16975,DKK1_WNT8B,True,False,False,False
16976,APLN_CXCR6,False,False,True,False
16977,TNFSF14_LTBR,True,True,True,True
16978,CXCL2_HTR1F,False,False,True,False
16979,NPW_CCR8,False,False,True,False
16980,CCL5_TAS2R16,False,False,True,False
16981,CCL5_BDKRB2,False,False,True,False
16982,WNT8A_ FZD3,False,False,False,True
16983,BTC_ERBB3,True,True,True,False
16984,GDF9_FXYD6,True,False,False,False
16985,C5_HTR1A,False,False,True,False
16986,PTH_RAMP1,False,False,True,False
16987,XCL1_GRM5,False,False,True,False
16988,TGFB2_ ACVR1B,False,False,False,True
16989,CDON_DHH,False,True,False,False
16990,TNFSF13B_TFRC,True,True,False,False
16991,EPHB1_EFNB3,False,True,False,False
16992,KISS1_LPAR4,False,False,True,False
16993,RLN2_MC3R,False,False,True,False
16994,SLC16A1_BSG,False,True,False,False
16995,CD244_IYD,True,False,False,False
16996,PLAU_LRP2,True,False,True,False
16997,SAA1_C3AR1,False,False,True,False
16998,QRFP_GRPR,False,False,True,False
16999,CCL19_AGTR2,False,False,True,False
17000,CXCL3_GABBR2,False,False,True,False
17001,XCL2_GPR4,False,False,True,False
17002,UTS2_BDKRB1,False,False,True,False
17003,PCDHB5_PCDHB5,False,False,False,True
17004,SST_TAS2R41,False,False,True,False
17005,CXCL2_XCR1,True,False,True,False
17006,CCL28_NPY4R,False,False,True,False
17007,CCL28_HTR1B,False,False,True,False
17008,GNRH1_XCR1,False,False,True,False
17009,PPBP_SSTR5,False,False,True,False
