,ID,community,CPDB,NicheNet,CellChat,community_curated,NicheNet_curated
2478,HMGB2_NTRK1,False,False,True,False,False,False
2479,HLA-C_LILRA1,True,False,False,False,True,False
2480,F2_CASR,False,False,True,False,False,False
2481,NRXN1_NLGN3,False,False,False,True,False,False
2482,CBR1_PTGFR,False,True,False,False,False,False
2483,CD9_CD36,True,False,False,False,False,False
2484,THBS2_ITGB3,True,False,False,False,False,False
2485,PLXNA1_TYROBP,True,False,False,False,True,False
2486,HCRT_QRFPR,False,False,True,False,False,False
2487,COL6A1_ITGA10_ITGB1,False,False,False,True,False,False
2488,IL10_IL22RA1,False,False,True,False,False,False
2489,CORT_PTGDR2,False,False,True,False,False,False
2490,CXCL3_CNR1,False,False,True,False,False,False
2491,TSPAN33_CLDN11,True,False,False,False,False,False
2492,UTS2_LPAR2,False,False,True,False,False,False
2493,AGT_P2RY12,False,False,True,False,False,False
2494,SAA1_GRM1,False,False,True,False,False,False
2495,COL8A1_ITGA2,True,True,False,False,True,False
2496,DAGLB_CNR1,False,True,False,False,False,False
2497,PCNA_NCR2,True,False,False,False,True,False
2498,WNT5B_FZD8,True,True,False,True,True,False
2499,COL6A6_SDC1,True,False,False,True,False,False
2500,RLN3_CXCR4,False,False,True,False,False,False
2501,AGT_TAS2R4,False,False,True,False,False,False
2502,ITGB1_CD47,False,False,True,False,False,False
2503,WNT8A_FRZB,False,True,True,False,False,False
2504,NPB_CCR2,False,False,True,False,False,False
2505,ICOSLG_ICOS,True,False,True,False,True,True
2506,NGF_SORT1,True,True,True,False,True,True
2507,MUC1_SIGLEC9,True,False,False,False,True,False
2508,AGT_NPY1R,False,False,True,False,False,False
2509,SOSTDC1_WNT10A,True,False,False,False,False,False
2510,WNT5B_KLRG2,True,True,False,False,True,False
2511,GAL_LPAR2,False,False,True,False,False,False
2512,SST_APLNR,False,False,True,False,False,False
2513,CCL27_P2RY12,False,False,True,False,False,False
2514,CRH_VIPR1,True,False,True,False,True,False
2515,CCL19_HTR1B,False,False,True,False,False,False
2516,PDYN_GPR55,False,False,True,False,False,False
2517,PTH_PTH1R,True,True,True,True,True,True
2518,CCL27_FPR2,False,False,True,False,False,False
2519,PYY_NPBWR1,False,False,True,False,False,False
2520,PMCH_ADORA3,False,False,True,False,False,False
2521,GRP_CHRM1,False,False,True,False,False,False
2522,GHRL_GPR17,False,False,True,False,False,False
2523,HP_ASGR2,True,False,False,False,True,False
2524,NPS_EDNRB,False,False,True,False,False,False
2525,PROK2_NTSR1,False,False,True,False,False,False
2526,C3_NPY5R,False,False,True,False,False,False
2527,GDF6_BMPR2,True,True,True,False,True,True
2528,PROK2_KISS1R,False,False,True,False,False,False
2529,NCAM1_CNTN2,False,False,True,False,False,False
2530,VCAM1_ITGAD,True,True,True,False,False,True
2531,CCL3_CCR4,True,False,True,False,True,False
2532,PROS1_AXL,True,True,True,True,True,True
2533,TNR_ITGAV,True,False,False,False,False,False
2534,LAMA5_ITGAV,True,False,False,False,False,False
2535,AVP_CCKAR,False,False,True,False,False,False
2536,CXCL6_HCAR1,False,False,True,False,False,False
2537,PPBP_OPRM1,False,False,True,False,False,False
2538,MET_ITGA2,True,False,False,False,False,False
2539,WNT10B_FZD5,True,False,True,False,False,False
2540,PTH_PTH2R,True,True,True,True,True,True
2541,BMP1_BMPR1A,True,False,False,False,True,False
2542,GCG_NPFFR2,False,False,True,False,False,False
2543,CCK_F2RL2,False,False,True,False,False,False
2544,PF4_HCAR3,False,False,True,False,False,False
2545,CCL28_CCR5,False,False,True,False,False,False
2546,TNXB_ITGAV_ITGB3,False,False,False,True,False,False
2547,PENK_MTNR1A,True,False,True,False,True,False
2548,PLAU_LRP2,True,False,True,False,True,False
2549,INHBA_ACVR1C,True,True,True,False,True,False
2550,GNAI2_EGFR,True,False,False,False,True,False
2551,CCN2_EGFR,True,False,False,False,True,False
2552,COL1A2_CD44,True,False,False,True,True,False
2553,NTN1_NOTCH2,False,False,True,False,False,False
2554,FN1_PLAUR,True,False,False,False,True,False
2555,SIGLEC8_LRRC4C,True,False,False,False,False,False
2556,COL6A3_ITGA9,True,False,False,False,False,False
2557,VEGFD_VEGFR3,False,False,False,True,False,False
2558,DLL4_NOTCH4,True,True,True,True,True,True
2559,CCL21_TAS2R60,False,False,True,False,False,False
2560,IL16_KCNJ15,True,False,True,False,True,False
