,ID,community,CPDB,NicheNet,CellChat
291,AKR1D1_AR,False,True,False,False
292,NCAM2_L1CAM,False,False,False,True
293,WNT10B_ FZD7,False,False,False,True
294,WNT9B_ FZD3,False,False,False,True
295,PRSS1_F2RL2,False,False,False,True
296,FGF3_FGFR2,True,True,True,True
297,SEMA3C_ PLXNA2,False,False,False,True
298,INSL5_RXFP4,True,True,True,True
299,CXCL1_MTNR1A,True,False,False,False
300,IAPP_RAMP3,True,True,False,True
301,THBS2_NOTCH4,True,False,False,False
302,LPA_LPAR3,True,False,False,False
303,VCL_ALK,True,False,False,False
304,CD58_CD2,True,True,True,False
305,COL18A1_ITGA10,False,True,False,False
306,FSHB_RAMP3,True,False,False,False
307,TNXB_ITGA9,False,False,False,True
308,NAMPT_ITGA5,False,False,False,True
309,PTGES3_PTGER2,False,True,False,False
310,BMP8B_PLAUR,True,True,False,False
311,VWF_ITGA2B,True,False,True,True
312,CXCL13_ACKR4,True,True,False,False
313,CXCL13_ADRA2A,True,False,False,False
314,SFRP2_WNT1,False,True,False,False
315,COL5A2_ITGA2,True,True,False,False
316,LAMA5_CD151,True,False,False,False
317,BMP4_ BMPR2,False,False,False,True
318,BDNF_GPR152,False,True,False,False
319,FGF2_FGFR2,True,True,True,True
320,COL5A2_ITGA10,True,True,False,False
321,NRG1_ERBB4,False,True,True,True
322,LAMA3_ ITGA1,False,False,False,True
323,CALCA_ RAMP1,False,False,False,True
324,LGI2_ADAM23,True,False,False,False
325,BMP6_BMPR2,True,True,True,True
326,CCL19_CCRL2,True,True,True,False
327,MMP9_LRP1,True,False,True,False
328,SRD5A3_AR,False,True,False,False
329,C3_C5AR2,True,True,False,False
330,EFNA5_EPHA10,True,False,False,False
331,MATN1_ITGB1,True,False,False,False
332,AMBN_CD63,True,False,False,False
333,NRG1_SIGLEC7,True,False,False,False
334,FAM19A5_S1PR2,False,True,False,False
335,CCL21_CCR7,True,True,True,True
336,S100A9_CD68,True,False,False,False
337,RET_GFRA2,True,True,False,False
338,BDNF_F11R,False,True,False,False
339,BMP2_ BMPR2,False,False,False,True
340,BMP5_BMPR1A,True,True,True,False
341,IFNA13_IFNAR1,False,False,True,True
342,PROC_ITGAM,True,False,False,False
343,ITGAL_ICAM1,False,True,True,False
344,CCL3L1_ACKR2,True,True,False,True
345,APP_PLD1,True,False,False,False
346,PTH2_VIPR1,True,False,False,False
347,HLA-E_CD8B2,False,False,False,True
348,FZD5_LRP5,True,False,False,False
349,JAM2_JAM2,False,False,True,True
350,LAMA1_SV2C,False,False,False,True
351,COL1A1_SDC1,False,False,True,True
352,THY1_ITGAX,False,True,False,True
353,WNT7A_SFRP2,False,True,False,False
354,WNT3A_FZD8,False,True,False,True
355,EFNB3_EPHB4,True,True,True,True
356,ALDH1A2_RARA,False,True,False,False
357,CXCL3_CXCR1,True,True,True,True
358,IL18_IL1RAPL1,True,False,True,False
359,COL6A2_ ITGB1,False,False,False,True
360,WNT5B_FZD1,True,True,False,True
361,WNT5A_FZD9,True,True,False,True
362,EGF_PLD2,True,False,False,False
363,WNT8B_FZD10,False,True,False,True
364,SPX_GALR2,True,True,False,False
365,SEMA3C_ NRP1,False,False,False,True
366,THBS2_CD36,True,True,False,True
367,THBS4_SDC4,False,False,False,True
368,DBH_ADRB2,False,True,False,False
369,CRH_CRHR2,True,True,True,True
370,CALM2_TRPC5,True,False,False,False
371,POSTN_ITGAV,False,False,False,True
372,GNAS_ADCY8,True,False,False,False
373,COL14A1_CD44,True,False,False,False
374,WNT2B_FZD8,False,True,False,True
375,SEMA5A_PLXNA3,True,False,False,True
376,IL16_GRIN2C,True,True,False,False
377,THY1_ ITGB3,False,False,False,True
378,COL5A3_ITGA2,True,True,False,False
379,NRXN3_CLSTN1,False,False,False,True
380,COL4A4_ ITGB8,False,False,False,True
381,CER1_MRC2,True,True,False,False
382,CCL7_ACKR4,True,False,False,False
383,PSEN1_NCSTN,True,False,True,False
384,CCL2_ACKR4,True,False,False,False
385,SIRPG_CD47,False,True,False,True
386,SEMA4A_PLXND1,False,True,False,False
387,IAPP_IDE,False,True,False,False
388,CLEC2A_KLRF2,True,True,False,False
