	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
12733	UBALD1	False	False	False	47.0376906878359	3	True	False	0.08548039258061221	0.6611556209625084	-0.36944956
12734	UBALD2	False	False	False	104.65833924454	3	True	False	0.2521259638160789	0.7669828939634608	-0.1112163
12735	UBAP1	False	False	False	34.4458102530906	3	True	False	0.05794588437355684	0.5897705839517603	-0.543639
12736	UBAP2	False	False	False	28.4526616052075	3	True	False	0.06345367079729228	0.7759092764381315	-0.08943468
12737	UBAP2L	False	False	False	36.2519074587206	3	True	False	0.06402537723163364	0.6879494094775704	-0.30406898
12738	UBASH3A	False	False	False	5.52005665385631	3	True	False	0.007281513309417689	0.24270516218634855	-1.3905269
12739	UBASH3B	False	False	False	10.9042119864341	3	True	False	0.011557338334890055	0.5626166945804999	-0.60989827
12740	UBB	True	True	False	3480.13560771175	3	True	False	2.0541527184030315	1.9129476246679038	-0.60930663
12741	UBBP4	False	False	False	117.260997791662	3	True	False	0.15471202327887681	0.6849537844168698	-0.31137875
12742	UBC	True	True	False	3270.08798062964	3	True	False	2.0352318818328836	2.0824710521613934	-0.50719374
12743	UBD	False	False	False	4.66245279980177	3	True	False	0.008104947107026566	2.180582286546895	3.3381627
12744	UBE2A	False	False	False	188.566769929837	3	True	False	0.29580309948440553	0.8624270384982888	0.121680684
12745	UBE2B	False	False	False	250.758743838455	3	True	False	0.3809824227986138	0.7108684075765012	-0.74957675
12746	UBE2C	False	False	False	89.2285880006184	3	True	True	0.17801678627190134	2.0524587707839284	3.0255237
12747	UBE2D1	False	False	False	121.062165931836	3	True	False	0.15466156625344082	0.6686300536779011	-0.3512109
12748	UBE2D2	False	False	False	382.018018479552	3	True	False	0.5426157323127565	0.6866177471403522	-0.7912167
12749	UBE2D3	False	False	False	698.151001007792	3	True	False	0.7743025844870455	0.7670986655311053	-0.93181217
12750	UBE2D4	False	False	False	39.0395233254067	3	True	False	0.06593851844974918	0.6856134014888552	-0.30976918
12751	UBE2E1	False	False	False	116.976816370735	3	True	False	0.1985505280719079	0.6723435894607056	-0.34214938
12752	UBE2E2	False	False	False	50.2485366936842	3	True	False	0.06449482136762544	0.7326440356927729	-0.19500789
12753	UBE2E3	False	False	False	164.065610418593	3	True	False	0.26600140245353265	0.749840010630408	-0.15304732
12754	UBE2F	False	False	False	103.279394575611	3	True	False	0.14119788079354562	0.6187636257334279	-0.47289193
12755	UBE2G1	False	False	False	82.5643526449876	3	True	False	0.16912149615256883	0.5885545948070008	-0.5466062
