cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,CCL3,0,0.5236660860370531,0.502,0.142,0
Mono,RPL23,0,-0.3539997673959876,0.957,0.97,0
Mono,IFI35,0,0.38854158970906627,0.476,0.135,0
Mono,GRN,0,0.3178262483452332,0.913,0.724,0
Mono,SNHG25,0,0.2646997114655787,0.347,0.111,0
Mono,H3F3B,0,0.31672325452487815,0.997,0.972,0
Mono,LINC00482,0,0.3431897515886926,0.28,0.01,0
Mono,SECTM1,0,0.308627121183276,0.435,0.153,0
Mono,PCAT18,0,0.34145555317982673,0.274,0.002,0
Mono,PMAIP1,0,0.8360168580733205,0.68,0.217,0
Mono,AZU1,0,0.4895914609855663,0.383,0.059,0
Mono,GADD45B,0,0.5510065192276532,0.771,0.402,0
Mono,TNFSF9,0,0.4410198170450912,0.324,0.012,0
Mono,PRDX2,0,0.42239756133969025,0.53,0.173,0
Mono,CALR,0,0.4334829129229707,0.764,0.442,0
Mono,DNAJB1,0,0.5485243635231802,0.6,0.181,0
Mono,KLF2,0,0.5610475978508,0.841,0.568,0
Mono,BST2,0,0.4681326021126684,0.79,0.511,0
Mono,JUND,0,0.2700173747325596,0.992,0.936,0
Mono,HOMER3,0,0.3550993750549434,0.46,0.144,0
Mono,ZFP36,0,0.7617906128371177,0.934,0.604,0
Mono,BCL3,0,0.32414159983760205,0.416,0.124,0
Mono,TRPM4,0,0.6758330079037101,0.5,0.024,0
Mono,MYADM,0,0.5462586330139332,0.813,0.399,0
Mono,NDUFA3,0,0.4051199266102473,0.698,0.358,0
Mono,LAIR1,0,0.31560811166968833,0.424,0.13,0
Mono,LILRB4,0,0.46686916338619666,0.521,0.141,0
Mono,TNNT1,0,0.6360723991975457,0.567,0.112,0
Mono,UBE2S,0,0.37251193072778477,0.485,0.169,0
Mono,SIGLEC1,0,0.26951197399355314,0.23,0.011,0
Mono,NXT1,0,0.801179372222205,0.689,0.205,0
Mono,ID1,0,0.4475478751874571,0.404,0.11,0
Mono,MAFB,0,0.5864490115115424,0.893,0.548,0
